mjd,fermi_flux,fermi_flux_err
60152.16686215278,3.525714e-07,6.252703e-08
60159.16689525477,2.1731587e-07,4.4119048e-08
60166.16702233809,2.672218e-07,6.299762e-08
60173.16709594929,2.2752289e-07,3.8419103e-08
60180.16712303249,2.3381295e-07,3.7614683e-08
60187.16670706021,1.485625e-07,3.0144488e-08
60194.166676041845,2.3425748e-07,1.4845761e-08
60201.16667962952,2.499127e-07,3.4578445e-08
60208.16700092539,2.0735496e-07,3.1996013e-08
60215.16700601883,2.943748e-07,3.7647673e-08
60222.16709571736,2.0657987e-07,3.0689385e-08
60229.16655520767,2.853525e-07,2.8999107e-08
60236.16671643536,2.4067344e-07,2.5734849e-08
60243.166953356485,2.7073142e-07,3.4642685e-08
60250.16689942109,2.0778837e-07,1.1807489e-08
60257.16688657396,3.1872105e-07,4.1065327e-08
60264.16712557869,1.958917e-07,3.2936846e-08
60271.16686388888,3.3441185e-07,3.2959424e-08
60278.16692754628,2.666491e-07,2.9680711e-08
60285.16668923611,2.5198986e-07,3.2192926e-08
60292.16705150461,2.5620903e-07,3.5841687e-08
60299.16706886605,2.6880284e-07,3.3193125e-08
60306.16691192113,3.0432054e-07,3.7506805e-08
60313.16689004636,2.1225115e-07,4.923494e-08
60320.16693425913,1.7330264e-07,3.685821e-08
60327.16667476842,1.6222444e-07,1.14307595e-08
60334.16680081016,2.9881306e-07,1.646513e-08
60341.166692014405,2.645197e-07,3.743031e-08
60348.16673680519,3.4736186e-07,4.2193367e-08
60355.16688726813,2.2258946e-07,5.905874e-09
60362.16673182886,2.5352972e-07,9.447708e-08
60369.166689467645,,
60376.16660543954,1.6808431e-07,2.7218997e-08
60383.1668672454,2.0422851e-07,3.9656502e-08
60390.1669740744,2.5107227e-07,2.1953046e-08
60397.16699016142,1.5313601e-07,2.5148193e-08
60404.16686817145,2.2466725e-07,3.501161e-08
60411.1671318287,1.3614849e-07,3.1636944e-08
60418.1670802084,1.0478593e-07,2.889646e-08
60425.1668747687,1.1359367e-07,2.9976555e-08
60432.1666519675,1.3050878e-07,2.3055419e-08
60439.16700694412,1.6330715e-07,2.6751067e-08
60446.16677731487,2.5667137e-07,3.8524735e-08
60453.16672048609,1.8606856e-07,3.566029e-08
60460.16671284756,1.8404103e-07,2.9725493e-08
60467.166773263896,2.5268386e-07,3.7062474e-08
60474.16671030116,1.5958987e-07,2.7633323e-08
60481.16693645853,1.3967836e-07,2.261235e-08
60488.16673865738,1.6961374e-07,2.864304e-08
60495.16677083331,1.2684677e-07,3.0370146e-08
60502.166909143525,2.2168008e-07,3.8686064e-08
60509.16687048609,1.6544739e-07,2.8957867e-08
60516.166657060414,1.32865e-07,3.0782626e-08
60523.16692777791,1.1161381e-07,4.020187e-09
60530.166704513686,9.410193e-08,3.0626936e-08
60537.16669236152,1.8437942e-07,4.0037804e-08
60544.1667016205,1.9481709e-07,2.0349793e-08
60551.16681585691,1.8797618e-07,3.8221916e-08
60558.16690115773,1.2883825e-07,3.1930373e-08
60565.1667167827,6.137167e-08,1.379477e-08
60572.16689479163,1.8359718e-07,5.1239006e-08
60579.16671180551,1.3205472e-07,2.7930025e-08
60586.16685000021,8.122265e-08,2.3288438e-08
60593.16674618062,1.08009864e-07,2.4066486e-08
60600.16673275487,9.813986e-08,1.907404e-08
60607.16679201383,1.4083865e-07,2.9224154e-08
60614.16704212961,1.9149614e-07,2.5413826e-08
60621.16672523145,1.516021e-07,1.089414e-08
60628.16672465281,1.7016959e-07,3.7385124e-08
60635.16687314769,1.327917e-07,2.4087145e-08
60642.16681516197,1.06949265e-07,2.0799913e-08
60649.00021851856,9.016236e-08,2.1080439e-08
60657.58327025511,1.3024413e-07,3.3227966e-08
60663.166699189256,,
60670.16658391208,1.01907204e-07,2.6238066e-08
60677.16673958332,2.1982646e-07,4.2941622e-08
60684.16672789375,1.531835e-07,3.416424e-08
60691.16678321745,2.569455e-07,3.700442e-08
60698.16688043982,1.5814116e-07,3.414699e-08
60705.16677754637,1.299169e-07,2.8019455e-08
60712.16677465245,1.2350209e-07,3.13676e-08
60719.1668284722,1.6972773e-07,3.306391e-08
60726.16690254595,1.6172218e-07,4.068571e-08
60733.16680416795,,
60740.16678495379,1.0503725e-07,3.359064e-08
60747.16538379627,1.4330706e-07,2.9849115e-08
60754.1653758104,1.4534008e-07,2.888634e-08
60761.16694155085,1.1026903e-07,2.8997725e-08
60768.16668958319,8.762069e-08,3.111785e-08
60775.16688576368,9.98489e-08,2.6281082e-08
60782.16670243074,9.044844e-08,2.790052e-08
60789.16674895826,1.0694258e-07,2.7686886e-08
60796.16692835648,1.3894483e-07,2.2721101e-08
60803.166794328245,6.786147e-08,1.8596738e-08
60810.1667353005,1.1534035e-07,3.2049698e-08
60817.16703796223,8.695197e-08,2.5396599e-08
60824.1669177088,1.0462502e-07,2.4173437e-08
60831.16679965261,6.849682e-08,2.0024999e-08
60838.166817592544,8.751325e-08,2.0788226e-08
60845.16692986109,1.3097093e-07,2.7784225e-08
60852.16665104171,7.4295194e-08,2.414313e-08
60859.166566782456,1.2811307e-07,3.7496033e-08
60866.166639236166,1.16307675e-07,3.1638983e-08
60873.16703865799,1.2338059e-07,2.8677244e-08
60880.16672905084,1.0212243e-07,2.471366e-08
60887.16680451378,2.0450385e-07,7.9262065e-08
60894.1670392364,1.247818e-07,3.7112752e-08
60901.16687858797,2.293068e-07,4.5567898e-08
60908.16661006922,1.775572e-07,3.473755e-08
60915.16695486112,1.4839085e-07,3.407461e-08
60922.16703807874,1.4810418e-07,3.355261e-08
60927.25036713037,1.4943846e-07,2.5508408e-08
60936.34501064847,7.3438095e-08,3.2633885e-08
60943.16681076383,1.5474407e-07,3.366798e-08
60950.16695706014,1.8310882e-07,3.1058487e-08
60957.16664351853,1.4752125e-07,2.3881324e-08
60964.16670879656,1.17397036e-07,1.6943886e-08
60971.16692222213,1.02337154e-07,2.02163e-08
60978.166854051065,9.870309e-08,2.7378487e-08
60985.16687268496,1.5560678e-07,3.670306e-08
60992.16688125008,6.521257e-08,2.5016279e-08
60999.16677222219,1.2348058e-07,2.3939708e-09
61006.16708518481,1.6545697e-07,2.4442027e-08
61013.16692442136,1.4960548e-07,3.1381227e-08
61020.16679918961,1.20028e-07,8.183817e-09
61027.16697870383,1.202225e-07,2.8002171e-08
61034.16675069425,1.2343739e-07,2.862289e-08
61041.16678518496,1.4938976e-07,3.1873757e-08
61048.1668094906,2.1729144e-07,3.9559627e-08
61055.16681574068,3.0236308e-07,3.505057e-08
61062.16678483808,9.577636e-08,2.6690781e-08
61069.16677719957,,
61076.16705497642,,
61083.16677974512,,
61090.16656608831,,
61097.166678703776,,
61104.16654675924,,
61111.1666612272,,
61118.16672777723,,
61125.16668842604,,
