mjd,flux_jy,flux_err_jy,band,series_label,description,source,source_url,data_kind
59769.6778,0.4338,0.04646891120040508,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59784.73185714286,0.46249978803985603,0.017567297131034332,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59819.54287142858,0.4183685246789092,0.011059830165030426,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59872.3704,0.4656074267357895,0.016216654596168018,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59909.0865,0.43457387755753607,0.014655321807605834,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59950.33544999999,0.3797835331892614,0.025327038928121343,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59974.0534,0.4885837229856305,0.017399249901836427,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59997.05837619047,0.4369978854987782,0.019165261453940003,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60024.97331818181,0.4051918412034525,0.01045209206601568,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60054.08250000001,0.4305634092597446,0.02838910365355174,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60081.9431181818,0.39047566956595775,0.015708903847499418,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60102.862199999996,0.3448375572021926,0.020027980623713398,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60150.87665,0.3901599024448947,0.012241885881979941,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60178.789800000006,0.3414793645239477,0.012002654681598631,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60200.7085,0.40946666666666665,0.007900000000000018,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60201.7166,0.37025,0.011050000000000004,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60231.405099999996,0.31862707374184357,0.01015307846686401,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60262.18934999999,0.37199092573321063,0.01069432845839402,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60321.22395,0.463791562903874,0.00879009712082294,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60345.2477,0.4748216833643299,0.022981414040401365,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60365.2461,0.5358,0.012400000000000114,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60391.10106666668,0.47542510097127916,0.08019604331112055,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60468.98299999999,0.4063299999999999,0.02132000000000008,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60819.0339,0.36507500000000004,0.02660000000000003,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
60897.80255555556,0.31262222222222225,0.026455555555555565,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
61119.986800000006,0.3418279909059027,0.023508513889356042,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
61136.05526000001,0.32601542915232573,0.015380904034966133,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
61154.9987,0.33223631628991995,0.011447642347740575,14mm,TELAMON Aver 14mm,TELAMON averaged 14 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59113.6807,0.350925,0.04527500000000001,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59179.217833333336,0.4248,0.018233333333333324,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59181.190200000005,0.4778,0.01866666666666661,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
59202.19056666668,0.41430000000000006,0.030300000000000105,7mm,TELAMON Aver 7mm,TELAMON averaged 7 mm band,TELAMON,https://telamon.astro.uni-wuerzburg.de/sources/1104-3812,embedded Plotly averaged light curve
