source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,day,2021-05-08_2021-05-08,59342.5,2021-05-08,2021-05-08,6,2.6,3.0,5.6881e-13,1.7193e-13,5.6881e-13,1.7193e-13,0.56881,0.17193,1e-12,15.44,OK
Mkn421,day,2021-05-09_2021-05-09,59343.5,2021-05-09,2021-05-09,5,2.6,3.0,8.8484e-13,1.7596e-13,8.8484e-13,1.7596e-13,0.88484,0.17596,1e-12,36.39,OK
Mkn421,day,2021-05-10_2021-05-10,59344.5,2021-05-10,2021-05-10,6,2.6,3.0,4.9706e-13,1.5521e-13,4.9706e-13,1.5521e-13,0.49706,0.15521,1e-12,14.16,OK
Mkn421,day,2021-05-11_2021-05-11,59345.5,2021-05-11,2021-05-11,6,2.6,3.0,3.0581e-13,1.4802e-13,3.0581e-13,1.4802e-13,0.30581,0.14802,1e-12,5.37,OK
Mkn421,day,2021-05-12_2021-05-12,59346.5,2021-05-12,2021-05-12,6,2.6,3.0,5.5172e-13,1.8139e-13,5.5172e-13,1.8139e-13,0.55172,0.18139,1e-12,13.08,OK
Mkn421,day,2021-05-13_2021-05-13,59347.5,2021-05-13,2021-05-13,6,2.6,3.0,5.3969e-13,1.6845e-13,5.3969e-13,1.6845e-13,0.53969,0.16845,1e-12,13.87,OK
Mkn421,day,2021-05-14_2021-05-14,59348.5,2021-05-14,2021-05-14,6,2.6,3.0,8.2417e-13,1.7462e-13,8.2417e-13,1.7462e-13,0.82417,0.17462,1e-12,33.48,OK
Mkn421,day,2021-05-15_2021-05-15,59349.5,2021-05-15,2021-05-15,6,2.6,3.0,2.4552e-13,1.3072e-13,2.4552e-13,1.3072e-13,0.24552,0.13072,1e-12,4.96,OK
Mkn421,day,2021-05-16_2021-05-16,59350.5,2021-05-16,2021-05-16,5,2.6,3.0,8.179e-13,1.6874e-13,8.179e-13,1.6874e-13,0.8179,0.16874,1e-12,38.03,OK
Mkn421,day,2021-05-17_2021-05-17,59351.5,2021-05-17,2021-05-17,3,2.6,3.0,4.5462e-13,1.8271e-13,4.5462e-13,1.8271e-13,0.45462,0.18271,1e-12,9.31,OK
Mkn421,day,2021-05-18_2021-05-18,59352.5,2021-05-18,2021-05-18,4,2.6,3.0,1.9259e-13,1.2812e-13,1.9259e-13,1.2812e-13,0.19259,0.12812,1e-12,2.87,OK
Mkn421,day,2021-05-19_2021-05-19,59353.5,2021-05-19,2021-05-19,6,2.6,3.0,1.6785e-13,1.3583e-13,1.6785e-13,1.3583e-13,0.16785,0.13583,1e-12,1.75,OK
Mkn421,day,2021-05-20_2021-05-20,59354.5,2021-05-20,2021-05-20,6,2.6,3.0,1.4868e-13,1.1914e-13,1.4868e-13,1.1914e-13,0.14868,0.11914,1e-12,1.94,OK
Mkn421,day,2021-05-21_2021-05-21,59355.5,2021-05-21,2021-05-21,6,2.6,3.0,1.7809e-13,1.2575e-13,1.7809e-13,1.2575e-13,0.17809,0.12575,1e-12,2.55,OK
Mkn421,day,2021-05-22_2021-05-22,59356.5,2021-05-22,2021-05-22,6,2.6,3.0,4.8233e-13,1.5471e-13,4.8233e-13,1.5471e-13,0.48233,0.15471,1e-12,15.09,OK
Mkn421,day,2021-05-23_2021-05-23,59357.5,2021-05-23,2021-05-23,6,2.6,3.0,4.2355e-13,1.5148e-13,4.2355e-13,1.5148e-13,0.42355,0.15148,1e-12,11.0,OK
Mkn421,day,2021-05-24_2021-05-24,59358.5,2021-05-24,2021-05-24,6,2.6,3.0,5.990000000000001e-15,5.9511e-13,5.990000000000001e-15,5.9511e-13,0.00599,0.59511,1e-12,0.0,OK
Mkn421,day,2021-05-25_2021-05-25,59359.5,2021-05-25,2021-05-25,5,2.6,3.0,2.8365e-13,1.2471e-13,2.8365e-13,1.2471e-13,0.28365,0.12471,1e-12,8.62,OK
Mkn421,day,2021-05-26_2021-05-26,59360.5,2021-05-26,2021-05-26,6,2.6,3.0,3.3517e-13,1.467e-13,3.3517e-13,1.467e-13,0.33517,0.1467,1e-12,6.81,OK
Mkn421,day,2021-05-27_2021-05-27,59361.5,2021-05-27,2021-05-27,6,2.6,3.0,2.539e-14,1.3312e-13,2.539e-14,1.3312e-13,0.02539,0.13312,1e-12,0.05,OK
Mkn421,day,2021-05-28_2021-05-28,59362.5,2021-05-28,2021-05-28,6,2.6,3.0,3.415e-13,1.3845e-13,3.415e-13,1.3845e-13,0.3415,0.13845,1e-12,8.73,OK
Mkn421,day,2021-05-29_2021-05-29,59363.5,2021-05-29,2021-05-29,6,2.6,3.0,3.0566e-13,1.3068e-13,3.0566e-13,1.3068e-13,0.30566,0.13068,1e-12,8.08,OK
Mkn421,day,2021-05-30_2021-05-30,59364.5,2021-05-30,2021-05-30,6,2.6,3.0,1.605e-13,1.2818e-13,1.605e-13,1.2818e-13,0.1605,0.12818,1e-12,1.88,OK
Mkn421,day,2021-05-31_2021-05-31,59365.5,2021-05-31,2021-05-31,6,2.6,3.0,3.6276e-13,1.3869e-13,3.6276e-13,1.3869e-13,0.36276,0.13869,1e-12,11.16,OK
