mjd,fermi_flux,fermi_flux_err
60292.5,2.5620903e-07,3.5841687e-08
60299.5,2.6880284e-07,3.3193125e-08
60306.5,3.0432054e-07,3.7506805e-08
60313.5,2.1225115e-07,4.923494e-08
60320.5,1.7330264e-07,3.685821e-08
60327.5,1.6222444e-07,1.14307595e-08
60334.5,2.9881306e-07,1.646513e-08
60341.5,2.645197e-07,3.743031e-08
60348.5,3.4736186e-07,4.2193367e-08
60355.5,2.2258946e-07,5.905874e-09
60362.5,2.5352972e-07,9.447708e-08
60376.5,1.6808431e-07,2.7218997e-08
60383.5,2.0422851e-07,3.9656502e-08
60390.5,2.5107227e-07,2.1953046e-08
60397.5,1.5313601e-07,2.5148193e-08
60404.5,2.2466725e-07,3.501161e-08
60411.5,1.3614849e-07,3.1636944e-08
60418.5,1.0478593e-07,2.889646e-08
60425.5,1.1359367e-07,2.9976555e-08
60432.5,1.3050878e-07,2.3055419e-08
60439.5,1.6330715e-07,2.6751067e-08
60446.5,2.5667137e-07,3.8524735e-08
60453.5,1.8606856e-07,3.566029e-08
60460.5,1.8404103e-07,2.9725493e-08
60467.5,2.5268386e-07,3.7062474e-08
60474.5,1.5958987e-07,2.7633323e-08
60481.5,1.3967836e-07,2.261235e-08
60488.5,1.6961374e-07,2.864304e-08
60495.5,1.2684677e-07,3.0370146e-08
60502.5,2.2168008e-07,3.8686064e-08
60509.5,1.6544739e-07,2.8957867e-08
60516.5,1.32865e-07,3.0782626e-08
60523.5,1.1161381e-07,4.020187e-09
60530.5,9.410193e-08,3.0626936e-08
60537.5,1.8437942e-07,4.0037804e-08
60544.5,1.9481709e-07,2.0349793e-08
60551.5,1.8797618e-07,3.8221916e-08
60558.5,1.2883825e-07,3.1930373e-08
60565.5,6.137167e-08,1.379477e-08
60572.5,1.8359718e-07,5.1239006e-08
60579.5,1.3205472e-07,2.7930025e-08
60586.5,8.122265e-08,2.3288438e-08
60593.5,1.08009864e-07,2.4066486e-08
60600.5,9.813986e-08,1.907404e-08
60607.5,1.4083865e-07,2.9224154e-08
60614.5,1.9149614e-07,2.5413826e-08
60621.5,1.516021e-07,1.089414e-08
60628.5,1.7016959e-07,3.7385124e-08
60635.5,1.327917e-07,2.4087145e-08
60642.5,1.06949265e-07,2.0799913e-08
60649.5,9.016236e-08,2.1080439e-08
60656.5,1.3024413e-07,3.3227966e-08
60670.5,1.01907204e-07,2.6238066e-08
60677.5,2.1982646e-07,4.2941622e-08
60684.5,1.531835e-07,3.416424e-08
60691.5,2.569455e-07,3.700442e-08
60698.5,1.5814116e-07,3.414699e-08
60705.5,1.299169e-07,2.8019455e-08
60712.5,1.2350209e-07,3.13676e-08
60719.5,1.6972773e-07,3.306391e-08
60726.5,1.6172218e-07,4.068571e-08
60740.5,1.0503725e-07,3.359064e-08
60747.5,1.4330706e-07,2.9849115e-08
60754.5,1.4534008e-07,2.888634e-08
60761.5,1.1026903e-07,2.8997725e-08
60768.5,8.762069e-08,3.111785e-08
60775.5,9.98489e-08,2.6281082e-08
60782.5,9.044844e-08,2.790052e-08
60789.5,1.0694258e-07,2.7686886e-08
60796.5,1.3894483e-07,2.2721101e-08
60803.5,6.786147e-08,1.8596738e-08
60810.5,1.1534035e-07,3.2049698e-08
60817.5,8.695197e-08,2.5396599e-08
60824.5,1.0462502e-07,2.4173437e-08
60831.5,6.849682e-08,2.0024999e-08
60838.5,8.751325e-08,2.0788226e-08
60845.5,1.3097093e-07,2.7784225e-08
60852.5,7.4295194e-08,2.414313e-08
60859.5,1.2811307e-07,3.7496033e-08
60866.5,1.16307675e-07,3.1638983e-08
60873.5,1.2338059e-07,2.8677244e-08
60880.5,1.0212243e-07,2.471366e-08
