source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,wcda_n0,wcda_n0_err,N0,N0_err,F0,F0_err,F0_order,TS,fit_status
Mkn421,week,2022-05-09_2022-05-15,59711.5,2022-05-09,2022-05-15,41,2.6,3.0,9.1194e-13,6.437e-14,9.1194e-13,6.437e-14,0.91194,0.06437,1e-12,321.4,OK
Mkn421,week,2022-05-16_2022-05-22,59718.5,2022-05-16,2022-05-22,37,2.6,3.0,2.32698e-12,7.917e-14,2.32698e-12,7.917e-14,2.32698,0.07917,1e-12,1661.55,OK
Mkn421,week,2022-05-23_2022-05-29,59725.5,2022-05-23,2022-05-29,40,2.6,3.0,7.4217e-13,6.156e-14,7.4217e-13,6.156e-14,0.74217,0.06156,1e-12,226.29,OK
Mkn421,week,2022-05-30_2022-06-05,59732.5,2022-05-30,2022-06-05,42,2.6,3.0,9.3368e-13,6.658e-14,9.3368e-13,6.658e-14,0.93368,0.06658,1e-12,315.48,OK
Mkn421,week,2022-06-06_2022-06-12,59739.5,2022-06-06,2022-06-12,42,2.6,3.0,8.5774e-13,6.567e-14,8.5774e-13,6.567e-14,0.85774,0.06567,1e-12,273.81,OK
Mkn421,week,2022-06-13_2022-06-19,59746.5,2022-06-13,2022-06-19,41,2.6,3.0,6.691e-13,6.625e-14,6.691e-13,6.625e-14,0.6691,0.06625,1e-12,153.31,OK
Mkn421,week,2022-06-20_2022-06-26,59753.5,2022-06-20,2022-06-26,33,2.6,3.0,6.3853e-13,7.264e-14,6.3853e-13,7.264e-14,0.63853,0.07264,1e-12,111.29,OK
Mkn421,week,2022-06-27_2022-07-03,59760.5,2022-06-27,2022-07-03,35,2.6,3.0,5.924e-13,6.823e-14,5.924e-13,6.823e-14,0.5924,0.06823,1e-12,106.6,OK
Mkn421,week,2022-07-04_2022-07-10,59767.5,2022-07-04,2022-07-10,42,2.6,3.0,1.0677e-12,7.33e-14,1.0677e-12,7.33e-14,1.0677,0.0733,1e-12,321.24,OK
Mkn421,week,2022-07-11_2022-07-17,59774.5,2022-07-11,2022-07-17,42,2.6,3.0,7.0604e-13,6.336e-14,7.0604e-13,6.336e-14,0.70604,0.06336,1e-12,186.01,OK
