source_id,source,series,method,period_days,cycles,observed_statistic,statistic_name,null_model,local_fap,global_fap,local_confidence,global_confidence,reference_95,reference_99,above_95,above_99,n_surrogates,exceed_count,global_exceed_count,local_window_min_days,local_window_max_days,ar1_alpha,note
mkn421,Mrk 421,wcda_weekly,CWT,129.86979837130292,14.174453409890832,2.9647371116477736,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,11.370690796021458,14.095103730337833,False,False,0,0,0,,,0.736512140761136,Quick-look candidate peak; no source/method/survey trial correction.
1es1727p502,1ES 1727+502,wcda_weekly,CWT,115.70083689413812,15.910286008131836,1.4880880928930647,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.1223027517826094,2.6056129393607192,False,False,0,0,0,,,0.11567659217936276,Quick-look candidate peak; no source/method/survey trial correction.
1es1727p502,1ES 1727+502,wcda_weekly,CWT,308.88417649424434,5.959623530278998,2.689830425099304,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.688389546331967,3.61039881640835,True,False,0,0,0,,,0.11567659217936276,Quick-look candidate peak; no source/method/survey trial correction.
1es1727p502,1ES 1727+502,wcda_weekly,WWZ,79.80011111986697,23.068055677276583,1.4156641519133584,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.46853146853146854,0.986013986013986,0.5314685314685315,0.013986013986013957,2.0316902557788605,2.4023042030947153,False,False,1000,468,986,71.82010000788027,87.78012223185367,0.11567659217936276,Quick-look candidate peak; no source/method/survey trial correction.
1es1727p502,1ES 1727+502,wcda_weekly,WWZ,135.67407520658455,13.568055677276583,1.859230815423485,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.24675324675324675,0.8481518481518482,0.7532467532467533,0.1518481518481518,2.3144452205905304,2.9738383387284975,False,False,1000,246,848,122.1066676859261,149.241482727243,0.11567659217936276,Quick-look candidate peak; no source/method/survey trial correction.
1es1727p502,1ES 1727+502,wcda_weekly,WWZ,303.36462027852355,6.068055677276583,3.2237668989095787,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.03396603396603397,0.18581418581418582,0.9660339660339661,0.8141858141858141,2.630629785645257,3.7743957953761176,True,False,1000,33,185,273.0281582506712,333.70108230637595,0.11567659217936276,Quick-look candidate peak; no source/method/survey trial correction.
1es2344p514,1ES 2344+514,wcda_weekly,CWT,86.67769135952088,21.237683854898243,1.7251567883638363,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,1.8355603391387376,2.2029976794658896,False,False,0,0,0,,,0.07325860820783055,Quick-look candidate peak; no source/method/survey trial correction.
1es2344p514,1ES 2344+514,wcda_weekly,CWT,218.41409580030265,8.428180423158379,1.9872985178668747,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.260355635663921,2.936000498872336,False,False,0,0,0,,,0.07325860820783055,Quick-look candidate peak; no source/method/survey trial correction.
1es2344p514,1ES 2344+514,wcda_weekly,WWZ,89.49963162535032,20.568055677276583,2.042594583147789,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.06493506493506493,0.6433566433566433,0.935064935064935,0.35664335664335667,1.8813447102141805,2.283034054455333,True,False,1000,64,643,80.54966846281529,98.44959478788536,0.07325860820783055,Quick-look candidate peak; no source/method/survey trial correction.
1es2344p514,1ES 2344+514,wcda_weekly,WWZ,214.8484411986304,8.568055677276583,2.0167136837066777,Local-window max global WWZ,AR(1) Gaussian surrogate on same weekly sampling,0.15084915084915085,0.6573426573426573,0.8491508491508492,0.3426573426573427,2.3160602607560787,3.066471953746089,False,False,1000,150,657,193.36359707876738,236.33328531849347,0.07325860820783055,Quick-look candidate peak; no source/method/survey trial correction.
bllac,BL Lacertae,wcda_weekly,CWT,109.20704790015132,16.856360846316758,2.0156517651378256,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,1.8247654052085052,2.2298215859466577,True,False,0,0,0,,,0.04680854475196371,Quick-look candidate peak; no source/method/survey trial correction.
