# ra : 166.114
# dec : 38.209
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-09-20_2021-09-26,59480.166958217735,"[19980.0, 2475.0, 328.0, 33.0, 9.0, 2.0, 0.0]","[19869.231992365894, 2276.2896855003883, 228.68431450307173, 15.307969481339677, 3.5057760678016194, 0.2419449138233874, 0.11415969949983835]","[618551016.855845, 70350147.32072896, 7055674.172319876, 472127.0869825294, 109380.3459649026, 7419.907717520167, 3581.1244918225098]",118231.3
2021-09-27_2021-10-03,59487.24986284722,"[37800.0, 4563.0, 577.0, 66.0, 27.0, 4.0, 0.0]","[37607.43455981796, 4217.305935235807, 412.322538670914, 26.23584968997618, 6.099153937613758, 0.46302271808079243, 0.1976442299659873]","[1215212132.8283663, 136413901.07114583, 13330648.098661566, 847591.8523232491, 197448.05212720358, 15130.729323538832, 6468.307162492446]",184041.8
2021-10-04_2021-10-10,59494.25005740744,"[36744.0, 4340.0, 537.0, 48.0, 20.0, 4.0, 0.0]","[36450.04726000328, 4073.2619651721184, 399.77886552111585, 26.12879639105975, 5.988161259511155, 0.5024068553834901, 0.26153884179499476]","[1172949521.2499506, 131328677.69869705, 12883853.004465234, 838767.76975304, 193926.09170663214, 16326.08178554463, 8529.982127242014]",177296.4
2021-10-11_2021-10-17,59501.16663148133,"[34656.0, 4029.0, 446.0, 37.0, 8.0, 1.0, 0.0]","[34061.76808996725, 3828.4601538350744, 376.58271212335376, 24.847482403547147, 5.956178876589158, 0.425813443169527, 0.22772986012752688]","[1169280825.3029485, 131398584.11125483, 12915969.786014322, 851236.3011475665, 202477.5998650036, 15025.98420945092, 7030.635022144053]",175455.5
2021-10-18_2021-10-24,59508.16666423631,"[36782.0, 4441.0, 526.0, 39.0, 19.0, 4.0, 1.0]","[36117.90578953321, 4050.6369239672, 399.208208845983, 25.742463712559104, 6.607336759037657, 0.4400398113906547, 0.16407915380495408]","[1190297710.977381, 133451621.6132171, 13146978.224072857, 847187.611714009, 216481.43987185683, 14193.694307113241, 5581.472578833039]",182509.7
2021-10-25_2021-10-31,59515.1669280092,"[41751.0, 4916.0, 652.0, 61.0, 27.0, 3.0, 0.0]","[41419.131305729956, 4635.676890633438, 462.24223879597594, 29.48754644930649, 7.125720287743273, 0.5823127546533355, 0.19668699047595656]","[1437014118.4115741, 160835655.95504126, 16028411.223619595, 1022373.3411676761, 247204.48775403076, 19463.27196857179, 7187.886664175728]",202107.2
2021-11-01_2021-11-07,59522.1668252314,"[38948.0, 4420.0, 519.0, 42.0, 10.0, 0.0, 0.0]","[38442.32929560585, 4320.3913953611, 432.49691886479894, 27.89938123901066, 6.661878560377295, 0.5100981143176592, 0.23241570163974945]","[1293142485.067937, 145343504.76714954, 14544245.413394544, 935799.6893007527, 223397.88333362242, 17237.343147242915, 7782.378637850041]",185512.2
2021-11-08_2021-11-14,59529.16671238424,"[37865.0, 4442.0, 489.0, 46.0, 10.0, 3.0, 0.0]","[37668.183306392486, 4253.656842494216, 422.7033990379226, 28.166494737844086, 6.461953904469834, 0.5004107215765491, 0.23492621588604518]","[1303738163.255022, 147242631.20485833, 14613943.969202051, 974898.0779932713, 223401.30898902993, 17297.154149832124, 8368.402852827076]",187131.4
2021-11-15_2021-11-21,59536.16684085637,"[43138.0, 5007.0, 521.0, 37.0, 12.0, 0.0, 0.0]","[42750.81030345556, 4797.221474287071, 472.99747759263397, 31.304082491898193, 7.526020133283947, 0.6227462549636026, 0.1796669968159392]","[1480652569.3024285, 166127787.55453438, 16369276.799512867, 1083553.1151739857, 259903.03824837808, 21962.948500898598, 6508.033899026031]",202035.6
2021-11-22_2021-11-28,59543.166822106185,"[42384.0, 4879.0, 534.0, 43.0, 12.0, 2.0, 0.0]","[41653.365228938965, 4664.694964235134, 466.5814725337071, 31.731283825801924, 7.454829491238417, 0.7020030398455837, 0.26333368726994805]","[1441735843.1903865, 161473208.40987447, 16148854.553521855, 1099065.4964396735, 259310.45215748282, 23812.322858053165, 9234.98860409529]",202221.7
