mjd,flux,flux_err
57163.49996527778,9.51996e-08,3.5651045e-08
57170.49996527778,2.595897e-07,5.1270973e-08
57177.49996527778,1.7734243e-07,3.929802e-08
57184.49996527778,1.9895418e-07,3.361892e-08
57191.49996527778,2.332269e-07,4.1934697e-08
57198.49996527778,1.3053375e-07,2.8836967e-08
57205.4999537037,2.4427018e-07,3.048636e-08
57212.4999537037,2.1450654e-07,3.1392823e-08
57219.4999537037,2.4581936e-07,3.5492278e-08
57226.4999537037,2.803694e-07,4.100566e-08
57233.4999537037,1.7324417e-07,2.8836878e-08
57240.4999537037,2.3781419e-07,3.325212e-08
57247.4999537037,3.051685e-07,3.6113555e-08
57254.4999537037,3.015382e-07,3.7185778e-08
57261.4999537037,2.390547e-07,3.636304e-08
57268.4999537037,2.2542488e-07,4.0861956e-08
57275.4999537037,1.2688282e-07,2.807287e-08
57282.4999537037,2.1233839e-07,3.8687922e-08
57289.4999537037,1.5404073e-07,2.9144752e-08
57296.4999537037,2.235581e-07,3.4877626e-08
57303.4999537037,2.7436025e-07,3.8494406e-08
57310.4999537037,1.431026e-07,2.753373e-08
57317.4999537037,1.5358944e-07,3.1248597e-08
57324.4999537037,1.300107e-07,2.8582628e-08
57331.4999537037,1.4455465e-07,3.262919e-08
57338.4999537037,1.0076206e-07,1.5701856e-08
57345.4999537037,1.3274456e-07,2.491047e-08
57352.4999537037,1.6223747e-07,3.155879e-08
57359.4999537037,1.2958031e-07,1.3119845e-08
57366.4999537037,1.8501329e-07,2.338227e-08
57373.4999537037,1.527652e-07,2.4680528e-08
57380.4999537037,2.1131012e-07,3.2445612e-08
57387.4999537037,2.4981833e-07,3.139826e-08
57394.4999537037,2.909861e-07,3.8134914e-08
57401.4999537037,2.6618096e-07,4.1721506e-08
57408.4999537037,2.7311523e-07,3.621249e-08
57415.4999537037,1.6784512e-07,2.802304e-08
57422.4999537037,1.17968376e-07,2.733261e-08
57429.4999537037,1.8117757e-07,3.4392382e-08
57436.4999537037,2.0670844e-07,3.9800526e-08
