source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,F0,F0_err,F0_order,N0,N0_err,TS,fit_status,fit_log_status,old_excess_rate,mapfile,parres,log
Mkn421,day,2022-03-28_2022-03-28,59666.50000000,2022-03-28,2022-03-28,6,2.6,3.0,0.36465,0.16245,1e-12,3.64650000e-13,1.62450000e-13,5.93,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2022-03-28_2022-03-28.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-03-28_2022-03-28/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-03-28_2022-03-28/fit.log
Mkn421,day,2022-03-29_2022-03-29,59667.50000000,2022-03-29,2022-03-29,6,2.6,3.0,0.32122,0.14286,1e-12,3.21220000e-13,1.42860000e-13,6.35,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2022-03-29_2022-03-29.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-03-29_2022-03-29/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-03-29_2022-03-29/fit.log
Mkn421,day,2022-03-30_2022-03-30,59668.50000000,2022-03-30,2022-03-30,6,2.6,3.0,0.34875,0.14182,1e-12,3.48750000e-13,1.41820000e-13,7.69,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2022-03-30_2022-03-30.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-03-30_2022-03-30/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-03-30_2022-03-30/fit.log
Mkn421,day,2022-03-31_2022-03-31,59669.50000000,2022-03-31,2022-03-31,5,2.6,3.0,0.13882,0.13205,1e-12,1.38820000e-13,1.32050000e-13,1.24,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2022-03-31_2022-03-31.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-03-31_2022-03-31/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-03-31_2022-03-31/fit.log
Mkn421,day,2022-04-01_2022-04-01,59670.50000000,2022-04-01,2022-04-01,6,2.6,3.0,0.20869,0.11724,1e-12,2.08690000e-13,1.17240000e-13,4.32,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2022-04-01_2022-04-01.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-01_2022-04-01/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-01_2022-04-01/fit.log
Mkn421,day,2022-04-02_2022-04-02,59671.50000000,2022-04-02,2022-04-02,6,2.6,3.0,0.23401,0.13542,1e-12,2.34010000e-13,1.35420000e-13,3.54,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2022-04-02_2022-04-02.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-02_2022-04-02/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-02_2022-04-02/fit.log
Mkn421,day,2022-04-03_2022-04-03,59672.50000000,2022-04-03,2022-04-03,6,2.6,3.0,0.31511,0.12991,1e-12,3.15110000e-13,1.29910000e-13,8.63,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2022-04-03_2022-04-03.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-03_2022-04-03/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-03_2022-04-03/fit.log
Mkn421,day,2022-04-04_2022-04-04,59673.50000000,2022-04-04,2022-04-04,6,2.6,3.0,0.29864,0.13598,1e-12,2.98640000e-13,1.35980000e-13,6.53,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2022-04-04_2022-04-04.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-04_2022-04-04/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-04_2022-04-04/fit.log
Mkn421,day,2022-04-05_2022-04-05,59674.50000000,2022-04-05,2022-04-05,6,2.6,3.0,0.43733,0.13927,1e-12,4.37330000e-13,1.39270000e-13,13.77,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2022-04-05_2022-04-05.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-05_2022-04-05/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-05_2022-04-05/fit.log
Mkn421,day,2022-04-06_2022-04-06,59675.50000000,2022-04-06,2022-04-06,6,2.6,3.0,0.25083,0.12165,1e-12,2.50830000e-13,1.21650000e-13,5.69,OK,OK,,/eos/user/l/liushijie/QPO/flux_strict_batch/maps/day/2022-04-06_2022-04-06.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-06_2022-04-06/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_batch/fits/Mkn421/day/2022-04-06_2022-04-06/fit.log
