source_id,source,name,cadence,mjd,date1,date2,N0,N0_err,F0,F0_err,F0_order,TS,gamma,E0_TeV,n_inputs,fit_status,fit_log_status,is_usable_for_periodicity
ngc1275,NGC1275,2022-05-16_2022-05-22,week,59718.5,2022-05-16,2022-05-22,9.31e-15,8.469e-14,0.00931,0.08469,1e-12,0.03,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-05-23_2022-05-29,week,59725.5,2022-05-23,2022-05-29,0.0,3.076e-14,0.0,0.03076,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-05-30_2022-06-05,week,59732.5,2022-05-30,2022-06-05,2.679e-14,4.474e-14,0.02679,0.04474,1e-12,0.38,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-06-06_2022-06-12,week,59739.5,2022-06-06,2022-06-12,3.333e-14,3.613e-14,0.03333,0.03613,1e-12,0.98,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-06-13_2022-06-19,week,59746.5,2022-06-13,2022-06-19,0.0,6.669e-14,0.0,0.06669,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-06-20_2022-06-26,week,59753.5,2022-06-20,2022-06-26,0.0,2.4783e-13,0.0,0.24783,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-06-27_2022-07-03,week,59760.5,2022-06-27,2022-07-03,0.0,9.99e-14,0.0,0.0999,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-07-04_2022-07-10,week,59767.5,2022-07-04,2022-07-10,0.0,1.719e-14,0.0,0.01719,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-07-11_2022-07-17,week,59774.5,2022-07-11,2022-07-17,0.0,5.756e-14,0.0,0.05756,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-07-18_2022-07-24,week,59781.5,2022-07-18,2022-07-24,0.0,2.222e-14,0.0,0.02222,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-07-25_2022-07-31,week,59788.5,2022-07-25,2022-07-31,2.733e-14,6.4100000000000004e-15,0.02733,0.00641,1e-12,0.44,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-08-01_2022-08-07,week,59795.5,2022-08-01,2022-08-07,0.0,2.214e-14,0.0,0.02214,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-08-08_2022-08-14,week,59802.5,2022-08-08,2022-08-14,0.0,1.3563e-13,0.0,0.13563,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-08-15_2022-08-21,week,59809.5,2022-08-15,2022-08-21,0.0,5.129e-14,0.0,0.05129,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-08-22_2022-08-28,week,59816.5,2022-08-22,2022-08-28,0.0,4.596e-14,0.0,0.04596,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-08-29_2022-09-04,week,59823.5,2022-08-29,2022-09-04,0.0,2.833e-14,0.0,0.02833,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-09-05_2022-09-11,week,59830.5,2022-09-05,2022-09-11,2.415e-14,3.61e-14,0.02415,0.0361,1e-12,0.49,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-09-12_2022-09-18,week,59837.5,2022-09-12,2022-09-18,0.0,2.797e-14,0.0,0.02797,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-09-19_2022-09-25,week,59844.5,2022-09-19,2022-09-25,0.0,8.990000000000001e-15,0.0,0.00899,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-09-26_2022-10-02,week,59851.5,2022-09-26,2022-10-02,0.0,2.903e-14,0.0,0.02903,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-10-03_2022-10-09,week,59858.5,2022-10-03,2022-10-09,0.0,3.099e-14,0.0,0.03099,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-10-10_2022-10-16,week,59865.5,2022-10-10,2022-10-16,0.0,4.187e-14,0.0,0.04187,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-10-17_2022-10-23,week,59872.5,2022-10-17,2022-10-23,0.0,4.795e-14,0.0,0.04795,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-10-24_2022-10-30,week,59879.5,2022-10-24,2022-10-30,1.9999999999999998e-17,1.2428e-13,2e-05,0.12428,1e-12,-0.0,2.6,3.0,1,OK,OK,True
ngc1275,NGC1275,2022-10-31_2022-11-06,week,59886.5,2022-10-31,2022-11-06,2.46e-14,4.16e-14,0.0246,0.0416,1e-12,0.37,2.6,3.0,1,OK,OK,True
