# time	flux
# # inc=90.00, dt=1.0, N=484
7.01000000e+02	4.98643223e-01
7.02000000e+02	4.95286706e-01
7.03000000e+02	4.88337691e-01
7.04000000e+02	4.87633754e-01
7.05000000e+02	4.94259629e-01
7.06000000e+02	4.97503598e-01
7.07000000e+02	5.01123732e-01
7.08000000e+02	4.95928685e-01
7.09000000e+02	4.95749163e-01
7.10000000e+02	4.96319206e-01
7.11000000e+02	4.99568036e-01
7.12000000e+02	4.95579516e-01
7.13000000e+02	5.09416867e-01
7.14000000e+02	5.05823390e-01
7.15000000e+02	4.96982385e-01
7.16000000e+02	4.86823098e-01
7.17000000e+02	4.92001013e-01
7.18000000e+02	5.03787062e-01
7.19000000e+02	5.19178139e-01
7.20000000e+02	5.15424213e-01
7.21000000e+02	5.05824572e-01
7.22000000e+02	5.00150749e-01
7.23000000e+02	4.97559673e-01
7.24000000e+02	4.99184003e-01
7.25000000e+02	5.08643160e-01
7.26000000e+02	5.01430406e-01
7.27000000e+02	4.99494374e-01
7.28000000e+02	4.97806828e-01
7.29000000e+02	5.02433705e-01
7.30000000e+02	5.05867166e-01
7.31000000e+02	5.15742422e-01
7.32000000e+02	5.10036336e-01
7.33000000e+02	5.07890809e-01
7.34000000e+02	5.06143559e-01
7.35000000e+02	5.01574983e-01
7.36000000e+02	5.02093291e-01
7.37000000e+02	5.08438342e-01
7.38000000e+02	5.02482470e-01
7.39000000e+02	4.90689109e-01
7.40000000e+02	4.85929925e-01
7.41000000e+02	4.84047900e-01
7.42000000e+02	4.86532383e-01
7.43000000e+02	4.95166373e-01
7.44000000e+02	5.05745371e-01
7.45000000e+02	5.17114420e-01
7.46000000e+02	5.12060115e-01
7.47000000e+02	5.04726512e-01
7.48000000e+02	5.06241059e-01
7.49000000e+02	5.15799265e-01
7.50000000e+02	5.15225246e-01
7.51000000e+02	5.02528124e-01
7.52000000e+02	4.96355394e-01
7.53000000e+02	4.96054330e-01
7.54000000e+02	4.99734074e-01
7.55000000e+02	4.98362065e-01
7.56000000e+02	4.96408114e-01
7.57000000e+02	5.03270507e-01
7.58000000e+02	5.10953605e-01
7.59000000e+02	5.09774874e-01
7.60000000e+02	5.16449781e-01
7.61000000e+02	5.23421558e-01
7.62000000e+02	5.25759704e-01
7.63000000e+02	5.27381360e-01
7.64000000e+02	5.24901194e-01
7.65000000e+02	5.23216843e-01
7.66000000e+02	5.26839647e-01
7.67000000e+02	5.27004382e-01
7.68000000e+02	5.21573769e-01
7.69000000e+02	5.21240583e-01
7.70000000e+02	5.18881914e-01
7.71000000e+02	5.19087225e-01
7.72000000e+02	5.20622064e-01
7.73000000e+02	5.25352469e-01
7.74000000e+02	5.20689830e-01
7.75000000e+02	5.23960548e-01
7.76000000e+02	5.13946124e-01
7.77000000e+02	5.17359337e-01
7.78000000e+02	5.18872862e-01
7.79000000e+02	5.24759501e-01
