# ra : 49.05, dec : 41.25
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-08-30_2021-09-05,59459.16678854192,"[37551.0, 4114.0, 369.0, 35.0, 4.0, 1.0, 0.0]","[37295.62306642275, 4153.534758337944, 399.1067194046241, 26.822236362507272, 6.5422257219225175, 0.5361353186402749, 0.23203076258599523]","[1282972362.5323777, 142819414.04741627, 13714402.898956437, 919489.7895149229, 225229.3283142013, 19323.067228057003, 7536.967300770893]",203870.9
2021-09-06_2021-09-12,59466.167044907554,"[36591.0, 4068.0, 375.0, 18.0, 5.0, 1.0, 1.0]","[36722.47028272083, 4073.3908381773103, 392.3137010330659, 25.024059844124352, 6.679024211034526, 0.568444942118938, 0.21493473865159374]","[1240079390.6766918, 137474473.1360577, 13246353.062936155, 844836.040788753, 226202.2780468883, 18695.002634941146, 7825.225383885152]",203373.1
2021-09-13_2021-09-19,59473.16697187504,"[36671.0, 4034.0, 380.0, 23.0, 4.0, 1.0, 0.0]","[36670.27293491299, 4042.7983696737806, 385.2045245584927, 25.116143141338814, 5.775869436562417, 0.455448571888488, 0.16752818937179076]","[1197802717.2206526, 132025083.22295286, 12591117.9011371, 819374.5511686417, 189440.70480645652, 15116.021823554356, 5134.818751171705]",192464.0
2021-09-20_2021-09-26,59480.166958217735,"[30588.0, 3509.0, 364.0, 22.0, 2.0, 2.0, 0.0]","[30701.715923178057, 3445.706965348525, 339.5260872182064, 21.775998574482298, 5.66536189294923, 0.4802454564109435, 0.1705936912811848]","[974187648.6725171, 109330689.22250818, 10764308.575976588, 691219.9409081975, 178032.00945275213, 15047.979685843127, 5190.644837763177]",171997.1
2021-09-27_2021-10-03,59487.24986284722,"[34390.0, 3887.0, 354.0, 21.0, 7.0, 1.0, 0.0]","[34574.87639919114, 3869.159527139787, 380.3379207568856, 24.496583165087706, 6.564581429598738, 0.512731805059077, 0.148029198516188]","[1181287843.8832207, 132162478.30982263, 12984366.111048153, 836578.8378331522, 222921.63942727254, 17112.223110070947, 5024.408155247731]",190789.1
2021-10-04_2021-10-10,59494.25005740744,"[32633.0, 3770.0, 374.0, 21.0, 4.0, 0.0, 0.0]","[32570.66878273624, 3633.691894088811, 358.03816327360056, 22.660962848039905, 5.470625632626676, 0.5075586594922009, 0.19284941738961908]","[1119530262.6408927, 124932121.81410922, 12298548.42448435, 776807.8260203046, 188005.92045780143, 17105.632646814363, 6471.929202132693]",176236.0
2021-10-11_2021-10-17,59501.16663148133,"[36943.0, 4207.0, 406.0, 25.0, 7.0, 0.0, 0.0]","[36961.741250514664, 4146.465061082267, 404.10477088680625, 27.08268964078669, 6.766814692494586, 0.5176804497433811, 0.18166561720894078]","[1250698485.194599, 140139224.63301674, 13641614.792115252, 912959.1021083444, 227388.04629084448, 17606.25925995877, 6517.17498343747]",204431.7
2021-10-18_2021-10-24,59508.16666423631,"[37464.0, 4136.0, 474.0, 32.0, 3.0, 0.0, 0.0]","[37530.3323539394, 4183.002262923295, 408.50596370407914, 26.767274890087005, 6.323710488437324, 0.5364561518850819, 0.18582136779550856]","[1268653035.6345332, 141155329.80993044, 13781007.941302074, 907382.2070121387, 215396.04253898383, 17978.792169387023, 6360.911084895323]",204796.3
2021-10-25_2021-10-31,59515.1669280092,"[37632.0, 4157.0, 404.0, 31.0, 5.0, 1.0, 0.0]","[37656.75521825559, 4229.631641432466, 411.02417588756975, 27.52451168988188, 6.4765364040361, 0.5605721890050664, 0.2577317927633563]","[1286712984.6488748, 144544711.1397033, 14049666.26738182, 939721.1043289225, 222020.87470548012, 19423.703349794483, 8153.754462275139]",205558.7
2021-11-01_2021-11-07,59522.1668252314,"[34122.0, 3843.0, 391.0, 28.0, 12.0, 0.0, 0.0]","[33877.79877401311, 3831.3285193269307, 382.9791379890141, 25.226144643338035, 6.447028946444563, 0.5279152188818601, 0.16845404438834033]","[1165067020.927487, 131630840.43121558, 13141390.906303572, 862205.4667896254, 220234.28456887515, 18048.54786315677, 5831.387307086263]",187882.4
2021-11-08_2021-11-14,59529.16671238424,"[38820.0, 4338.0, 458.0, 30.0, 11.0, 3.0, 0.0]","[38605.81142786995, 4351.102881271743, 428.37826532492403, 28.01376911512105, 7.143775196534653, 0.6067312613786598, 0.1634297325924356]","[1333699523.2122405, 150288766.1883196, 14811590.943632536, 964003.9884533898, 247435.2582419319, 21111.41672704334, 5493.922574134234]",205498.5
2021-11-15_2021-11-21,59536.16684085637,"[38873.0, 4375.0, 411.0, 33.0, 6.0, 2.0, 0.0]","[38728.55425153675, 4346.389179688741, 420.6768309528837, 27.42916975241275, 7.347885646464205, 0.5179786708673257, 0.15925583067580973]","[1299387192.1381314, 145792161.72268757, 14107718.368535176, 921839.473879372, 245966.26772971314, 17638.716801548166, 5708.57877413301]",198252.3
2021-11-22_2021-11-28,59543.166822106185,"[37978.0, 4266.0, 449.0, 23.0, 9.0, 1.0, 1.0]","[38317.79744199118, 4283.830455350018, 423.50667998402474, 28.10426828040144, 7.3516159563122105, 0.6043132454052463, 0.20405723187584682]","[1327048887.9874194, 148320536.9714182, 14643031.47457723, 972490.001323861, 254898.05803779632, 20096.25989307446, 6933.876858825127]",205635.5
2021-11-29_2021-12-05,59550.16697291678,"[37674.0, 4279.0, 421.0, 20.0, 5.0, 1.0, 0.0]","[37739.535559690026, 4200.61065787854, 412.49468997231907, 26.601714983830338, 7.1133476079456575, 0.5951931792989874, 0.21139135564523356]","[1298953979.5945919, 144453652.13759843, 14190852.48722049, 913918.9237679158, 244646.5266925675, 19955.162385506268, 7013.666047940196]",204501.3
2021-12-06_2021-12-12,59557.16690509248,"[38597.0, 4252.0, 406.0, 36.0, 5.0, 1.0, 0.0]","[38719.55804438275, 4343.779886343036, 430.6954237523444, 28.04765313650814, 7.565057122071906, 0.6182649035491748, 0.2362096150337255]","[1339991335.7778585, 150243588.35706797, 14875090.287131984, 966771.0368670186, 261385.6979374822, 20123.09901233692, 8146.59610077246]",205525.7
2021-12-13_2021-12-19,59564.166788194445,"[38994.0, 4318.0, 437.0, 30.0, 7.0, 1.0, 0.0]","[39061.941009104, 4369.335780947878, 430.6288390177755, 28.47036010909736, 6.923793919349029, 0.6459018533904032, 0.1296577606748942]","[1353400064.4548867, 151326423.32466486, 14894545.005773835, 983710.127814335, 241581.17014208765, 22757.453214057354, 4989.39381092327]",201199.2
