# ra : 330.75, dec : 42.15
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-08-30_2021-09-05,59459.16678854192,"[36204.0, 4138.0, 387.0, 26.0, 5.0, 0.0, 0.0]","[36033.42123595946, 4053.1894409663655, 396.4845256464468, 23.653801998264758, 5.447700622161885, 0.3230692721029086, 0.16234086630175054]","[1232130056.4712605, 138603475.80374676, 13574321.28661996, 811734.4222417944, 188175.24261175937, 11052.18728701987, 5213.567350384702]",202535.3
2021-09-06_2021-09-12,59466.167044907554,"[34788.0, 3888.0, 392.0, 21.0, 10.0, 0.0, 0.0]","[34816.030189167024, 3918.1852379911497, 379.8886145119601, 24.121296850981285, 5.8928854473631365, 0.5300396819002163, 0.21851575909702683]","[1166588546.033174, 131110249.2369595, 12684035.127981136, 805771.7329836157, 196071.2261344133, 17090.490349133735, 7531.006228656667]",196576.7
2021-09-13_2021-09-19,59473.16697187504,"[33915.0, 3850.0, 380.0, 23.0, 5.0, 1.0, 1.0]","[33865.70976384608, 3787.3819151854514, 368.5771457170913, 22.24393491416011, 5.648403036800055, 0.46100766450757463, 0.1300835356047255]","[1101870284.4874847, 123233641.4503289, 11988167.130993221, 725054.063662583, 183091.33330099343, 14803.278968010312, 4172.559805674668]",190439.5
2021-09-20_2021-09-26,59480.166958217735,"[32165.0, 3632.0, 383.0, 21.0, 7.0, 0.0, 0.0]","[32159.5802752379, 3655.276578310981, 364.64284797052096, 23.82835945713898, 6.445543194123109, 0.45342475165442947, 0.15131861120891507]","[1040652729.820152, 118231824.9365974, 11785808.214269876, 764010.2746155302, 205561.3393589886, 14519.247255538767, 5087.8556951628325]",185475.0
2021-09-27_2021-10-03,59487.24986284722,"[30731.0, 3543.0, 390.0, 24.0, 7.0, 0.0, 1.0]","[31078.33964963983, 3552.7376239730547, 345.5555341289784, 22.45488113231549, 5.214847832671379, 0.5049383368598577, 0.17961556005941087]","[1029119342.8310456, 117595967.6701058, 11427710.294915302, 740236.9154369518, 171843.81812923375, 16461.625344477357, 5796.250204975851]",182357.7
2021-10-04_2021-10-10,59494.25005740744,"[29572.0, 3277.0, 347.0, 15.0, 2.0, 0.0, 0.0]","[29660.88204775215, 3389.5380863196647, 336.2691938394395, 21.198317135051028, 5.26411317722028, 0.3835900594104952, 0.15512136155502884]","[1013319671.374196, 115744333.0252282, 11473291.156902973, 721236.2865069266, 179401.97054519525, 13823.893952669423, 5843.3909207350835]",171989.6
2021-10-11_2021-10-17,59501.16663148133,"[34492.0, 3972.0, 413.0, 21.0, 3.0, 0.0, 0.0]","[34568.00243870011, 3957.07844148154, 392.8761510785188, 24.096625868481027, 6.298836375690124, 0.43374211494563786, 0.2078566398136995]","[1171786176.0067048, 134135623.52858134, 13309839.01038251, 819669.7835143702, 212665.7107453501, 15258.722906857673, 5964.437888454562]",201461.6
2021-10-18_2021-10-24,59508.16666423631,"[34708.0, 3981.0, 434.0, 29.0, 7.0, 1.0, 0.0]","[34737.706845922585, 3971.574613942722, 390.8647745952441, 24.60338984783974, 6.279896094373146, 0.3965895860557155, 0.22576025350307216]","[1157088860.9645388, 132154640.85738844, 12999029.11503031, 818128.9013055579, 208360.00436398352, 13108.202929857249, 7273.425741759589]",198705.9
2021-10-25_2021-10-31,59515.1669280092,"[36478.0, 4158.0, 419.0, 24.0, 10.0, 1.0, 0.0]","[36324.09879175061, 4155.518301984775, 411.68273121157915, 25.514120793539927, 6.467001434554873, 0.6321001444241495, 0.19154797994464584]","[1254697419.9345338, 143596053.40369335, 14224661.585900677, 881861.3006870846, 224295.0132094318, 21808.66619091549, 6568.866872486668]",205962.2
2021-11-01_2021-11-07,59522.1668252314,"[36664.0, 4164.0, 413.0, 30.0, 5.0, 0.0, 0.0]","[36929.51820400641, 4232.97371234968, 419.2589970291951, 27.14093774105857, 6.880785625033469, 0.5474609689876871, 0.16833024152524587]","[1276574403.843389, 146311186.9399548, 14481799.907305613, 940999.9517439649, 236987.36177860628, 18440.037904031597, 5742.85675838514]",203479.2
