# ra : 356.75, dec : 51.75
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-12-13_2021-12-19,59564.166788194445,"[22026.0, 2893.0, 295.0, 24.0, 6.0, 0.0, 0.0]","[21945.038385025906, 2922.8928134651237, 285.74884758401714, 18.175183602012876, 5.269243336486073, 0.2920859038733778, 0.08845689015383931]","[756853092.3955842, 100797497.12855099, 9852994.084087603, 626941.930731069, 182211.2711901034, 10393.079182341076, 3540.622642747302]",189039.8
2021-12-20_2021-12-26,59571.16683148157,"[24559.0, 3243.0, 344.0, 20.0, 2.0, 0.0, 0.0]","[24408.219386835397, 3241.2664581242375, 327.441000598546, 22.061596479365566, 5.832719681785085, 0.2678098276504313, 0.18140196818349916]","[841420262.2455853, 111756661.14171693, 11302770.79875451, 763469.6575179844, 201792.81877234968, 9406.15825206325, 6705.110245827733]",206030.9
2021-12-27_2022-01-02,59578.16677905083,"[20736.0, 2667.0, 306.0, 18.0, 10.0, 0.0, 0.0]","[20872.136124046083, 2763.2691946919394, 275.9468964008796, 17.569062123561544, 4.626766763620185, 0.33965455784312404, 0.09091875653835242]","[660096340.3145529, 87469576.52659012, 8743603.229663722, 564183.5272977119, 147612.98681307462, 10366.163122165917, 3203.8237142344137]",179744.7
2022-01-03_2022-01-09,59585.16683425926,"[24209.0, 3233.0, 338.0, 27.0, 9.0, 0.0, 0.0]","[24100.73243661954, 3195.6015737657563, 316.54680716022136, 21.329786623735526, 5.510052110523595, 0.3363203972883729, 0.13589299409768865]","[828605028.0777369, 109880616.59118246, 10893466.95156109, 734481.9657600924, 190626.68570568276, 11794.83692874031, 4172.767453920292]",206060.5
2022-01-10_2022-01-16,59592.16679201393,"[24537.0, 3339.0, 350.0, 17.0, 5.0, 0.0, 1.0]","[24413.274122014256, 3241.4606102437947, 319.41844931416387, 21.591926702259627, 5.69325323381964, 0.3683874527754039, 0.14915443964266614]","[838562350.3714818, 111374432.46950279, 10990701.695279445, 744700.4556963777, 196284.07617067557, 11679.673939614206, 5706.957521536601]",206180.1
2022-01-17_2022-01-23,59599.16700868019,"[21603.0, 2855.0, 287.0, 21.0, 8.0, 0.0, 0.0]","[21528.630999808505, 2844.3141130132585, 278.6939389645427, 18.513180636496514, 4.860904422605602, 0.33821018537914405, 0.0919637795407724]","[726240475.0139183, 95968991.16165057, 9418293.272284385, 627576.3757526538, 163833.4234296587, 11645.6571271716, 3182.3632701460438]",178067.9
2022-01-24_2022-01-30,59606.16685833294,"[24609.0, 3204.0, 326.0, 26.0, 7.0, 1.0, 0.0]","[24469.93141079412, 3218.2242514363857, 316.04453848546507, 20.982363149177512, 5.6754288682874545, 0.3873929884311642, 0.1048783429008733]","[826880459.481749, 108790651.91740118, 10701901.134481624, 712809.8289264663, 192580.6831579924, 12845.347318868464, 3480.112544436191]",201860.7
2022-01-31_2022-02-06,59613.16693032354,"[24974.0, 3319.0, 342.0, 24.0, 6.0, 0.0, 0.0]","[24524.726040697824, 3263.975726817459, 321.5632309640428, 22.00226941490066, 5.414496980135319, 0.3602788604229968, 0.1669724698576118]","[836125778.4848791, 111346454.89190969, 10990663.043026844, 751924.3386018826, 184574.77234924329, 11792.33080324946, 5518.241714247511]",204658.8
2022-02-07_2022-02-13,59620.16686990748,"[23169.0, 3074.0, 294.0, 17.0, 4.0, 0.0, 0.0]","[22936.318893547108, 3038.1723368673815, 304.2528035216484, 19.42849476201806, 4.872077233345028, 0.2563558870495181, 0.06358041768349584]","[786919665.6133801, 104290807.38512546, 10452876.656273687, 667921.452428033, 167486.5620580631, 8862.05116092584, 2148.220472148466]",191145.8
2022-02-14_2022-02-20,59627.16690486121,"[7150.0, 922.0, 103.0, 4.0, 1.0, 0.0, 0.0]","[7101.097338089164, 925.5156271625847, 90.1563488400122, 5.954439810463243, 1.4792556155167984, 0.058940547579727956, 0.029944301823024818]","[234039095.91837823, 30497143.93598212, 2973815.847098826, 196280.82765078667, 49365.69695982307, 2131.7893517452844, 811.8423324431416]",62337.1
2022-02-21_2022-02-27,59634.16683993064,"[15377.0, 1954.0, 212.0, 15.0, 2.0, 2.0, 0.0]","[15258.4313495485, 1996.1871833110847, 193.76674743342318, 13.527325714777872, 3.3359940651621165, 0.18725521949674062, 0.0584655252231205]","[505754445.9133927, 66172131.94988245, 6434937.767383492, 449111.6962775675, 111069.98920123764, 5602.0602679724425, 2161.715865728442]",139885.9
2022-02-28_2022-03-06,59641.166850115726,"[23391.0, 3086.0, 309.0, 28.0, 7.0, 1.0, 0.0]","[23625.72797566031, 3062.8239257937216, 294.63258998136877, 20.376921193291764, 5.18237412642195, 0.3413371480177062, 0.13186323486707463]","[799232205.2589328, 103742075.85847966, 9986893.894365957, 692736.8284222792, 177516.05519151056, 11960.536530653593, 4367.558587719912]",204450.0
2022-03-07_2022-03-13,59648.16671736075,"[20328.0, 2698.0, 234.0, 20.0, 7.0, 0.0, 0.0]","[20470.361100815186, 2622.7003612438216, 247.01208231784904, 16.144981452763755, 4.454445331749165, 0.27562041568968515, 0.0666360735209865]","[663976028.6340483, 85202224.55859913, 8045492.142336901, 528527.4812863662, 145717.6130522019, 9094.61921950961, 2065.803014871384]",184727.9
2022-03-14_2022-03-20,59655.16690104192,"[22175.0, 2709.0, 240.0, 13.0, 1.0, 0.0, 0.0]","[22094.173750869082, 2818.0586770536247, 259.33544165339987, 17.24475314323629, 4.641439604920237, 0.2365886618411168, 0.07042572686746494]","[747479450.2228001, 95410108.24174714, 8793269.253795728, 583977.1239532772, 156266.37520366465, 7798.268236818727, 2592.5055824014066]",199118.9
