# ra : 253.468, dec : 39.76
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-10-25_2021-10-31,59515.1669280092,"[41530.0, 4903.0, 592.0, 59.0, 26.0, 1.0, 0.0]","[41144.162975954096, 4660.35623786492, 461.92715640362917, 29.656321782166717, 7.454623157250264, 0.5374384473769995, 0.24461326892173957]","[1412245707.5662427, 160052861.00680125, 15888026.481882056, 1022283.8598008468, 256885.44335539517, 18600.85934623928, 8132.476987905787]",203061.5
2021-11-01_2021-11-07,59522.1668252314,"[42388.0, 4787.0, 538.0, 46.0, 21.0, 5.0, 0.0]","[41990.42273212225, 4773.108888402942, 474.23362915026615, 29.350530221957392, 7.41405773661754, 0.5734659498103429, 0.23431918233691595]","[1422843694.7614164, 161882431.36278957, 16114181.878893333, 1000083.2563713887, 252700.04922114217, 19587.668293827363, 7306.29304094062]",202691.3
2021-11-08_2021-11-14,59529.16671238424,"[41811.0, 4851.0, 510.0, 42.0, 17.0, 1.0, 1.0]","[41611.73777217638, 4708.645203256874, 466.9914278859518, 29.991721022359588, 7.315472334659534, 0.7273835923872269, 0.25014314165292467]","[1423440925.1081622, 161198817.45359352, 16007991.235729655, 1028485.4238686868, 253000.57912300815, 24636.33229544413, 8828.40926810368]",198198.4
2021-11-15_2021-11-21,59536.16684085637,"[42702.0, 4856.0, 521.0, 58.0, 14.0, 2.0, 1.0]","[42429.62238375904, 4787.6879253982725, 473.5939823250007, 30.323410951966345, 7.741550250100658, 0.5971284609795053, 0.23216078200158066]","[1449317576.5175495, 163478065.20674738, 16175038.559084307, 1036948.6170074684, 263698.2811758598, 20864.98121889448, 8272.214764125933]",203011.8
2021-11-22_2021-11-28,59543.166822106185,"[41226.0, 4825.0, 577.0, 43.0, 24.0, 2.0, 1.0]","[41030.90867774735, 4626.486327968194, 464.8543489564415, 30.31173763213349, 7.743524628074317, 0.6637576452887234, 0.25385426058787214]","[1413319822.7432754, 159458217.01407868, 16017040.582208244, 1044937.6894030354, 266563.65546989354, 22118.0514372842, 8951.452199754318]",203202.5
2021-11-29_2021-12-05,59550.16697291678,"[35126.0, 4042.0, 455.0, 45.0, 18.0, 4.0, 1.0]","[34699.4602166562, 3888.487660956174, 382.5635877836556, 24.317414519143544, 6.298069647857915, 0.45554865484554863, 0.2124973085109457]","[1131883152.8715186, 127196831.6367137, 12517459.160341576, 796616.679800332, 202732.11217479847, 14583.465458206601, 6578.225525207858]",168879.9
2021-12-06_2021-12-12,59557.16690509248,"[39068.0, 4386.0, 544.0, 51.0, 22.0, 4.0, 0.0]","[38698.656428863134, 4378.190708527993, 436.18065818954665, 29.217202159031494, 7.465868262387091, 0.5866787213455944, 0.2580130451549827]","[1276625723.3975346, 144697216.3778651, 14438909.240141658, 964123.0910997015, 248537.358954474, 19193.230829257405, 8142.232125138812]",188032.1
2021-12-13_2021-12-19,59564.166788194445,"[37081.0, 4436.0, 493.0, 41.0, 11.0, 2.0, 1.0]","[36573.251635821565, 4139.790984205308, 410.41091692548156, 26.170904160791466, 6.860426809099614, 0.6068089201377539, 0.1646358468379398]","[1256535789.034846, 142002999.2416907, 14066188.781235317, 894081.215888676, 234038.39595618902, 20155.423842508346, 5858.627559703837]",181194.2
2021-12-20_2021-12-26,59571.16683148157,"[42702.0, 5082.0, 653.0, 71.0, 41.0, 9.0, 1.0]","[42331.18615824938, 4791.097515171909, 483.5719835107064, 32.234360141840035, 8.35002986376883, 0.6888545957767355, 0.21683816410308815]","[1465899074.4558544, 165942349.49713737, 16738560.927921671, 1114683.1721580813, 287679.8761310284, 23228.406287263024, 7347.037666499778]",203012.7
2021-12-27_2022-01-02,59578.16677905083,"[40300.0, 4768.0, 603.0, 63.0, 27.0, 5.0, 3.0]","[39924.61492160551, 4508.957021643136, 454.3853583458449, 29.913251050868407, 7.682835418609567, 0.6415180958884903, 0.20580379841807311]","[1333669035.1281593, 150601656.0757391, 15146273.680708786, 997352.8216223256, 254647.3136088966, 21319.346088415987, 7438.628821681645]",195447.1
2022-01-03_2022-01-09,59585.16683425926,"[41517.0, 4816.0, 577.0, 80.0, 28.0, 8.0, 1.0]","[41395.22876970792, 4642.22578747758, 462.15500729318586, 30.583588849385173, 8.000792447839698, 0.614775347681979, 0.17368622575211853]","[1405488299.9094934, 157837150.26640144, 15711844.610662134, 1038433.0164744278, 270758.7684399996, 21355.50880986014, 5356.3198359801245]",199545.6
