# ra : 187.75, dec : 12.45
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-08-30_2021-09-05,59459.16678854192,"[26407.0, 3273.0, 331.0, 29.0, 5.0, 1.0, 0.0]","[26553.819179050966, 3362.180209987634, 348.47710124021876, 22.36203779080251, 6.801754253424819, 0.5147209738975026, 0.19100358210960025]","[907271856.5738481, 114877019.10146001, 11913298.33417166, 767066.3662124795, 233537.5003376815, 17969.82356006486, 6798.475435762231]",170590.4
2021-09-06_2021-09-12,59466.167044907554,"[23883.0, 3010.0, 309.0, 21.0, 7.0, 1.0, 0.0]","[23870.9621635336, 3012.501240094964, 315.9967239210022, 19.84777320239642, 6.016028642328943, 0.4396286523022025, 0.14887132220282967]","[772935918.4282014, 97608569.46338913, 10243383.41566476, 641519.8890788938, 195714.06665689137, 13691.302289095867, 5049.725995965886]",156157.8
2021-09-13_2021-09-19,59473.16697187504,"[9915.0, 1228.0, 131.0, 6.0, 1.0, 1.0, 1.0]","[9889.38886078961, 1264.6745721188413, 133.0914046196421, 8.349947416031144, 2.5719539755651373, 0.2479226499846477, 0.06568248207587045]","[305379397.3405683, 38942189.58631669, 4102563.544418294, 258917.17617520178, 80159.11615606291, 6885.364530220689, 2215.131234531403]",73250.0
2021-09-20_2021-09-26,59480.166958217735,"[14831.0, 1956.0, 204.0, 11.0, 4.0, 0.0, 0.0]","[14731.207869833563, 1886.5938272232272, 202.28078011261348, 13.276552576548994, 3.76506986666245, 0.3103917048381606, 0.07568213036074883]","[432750445.27688366, 55478761.771820866, 5958078.938096808, 390966.9990856603, 111459.65334740772, 8863.465437313891, 2339.672047930279]",100270.5
2021-09-27_2021-10-03,59487.24986284722,"[22453.0, 2837.0, 313.0, 23.0, 9.0, 1.0, 2.0]","[22616.195935807937, 2868.5945348490573, 306.7808082416964, 19.761758571517035, 5.700140445221828, 0.4939633042711492, 0.15086620801177483]","[721643522.9934087, 91654096.89095028, 9794806.340453392, 630162.9277824663, 181214.88093548687, 16098.619132517317, 4956.915796466523]",146249.3
2021-10-04_2021-10-10,59494.25005740744,"[23817.0, 3045.0, 305.0, 17.0, 9.0, 0.0, 1.0]","[23713.735687215754, 3014.0769433532937, 318.2478059711142, 20.813908642573058, 5.857037337115504, 0.4554886154926119, 0.14909880232629943]","[758738752.2784771, 96630871.31363156, 10192281.756640913, 662381.3350226835, 187346.88440165477, 15435.776975448429, 4992.960932906706]",148680.5
2021-10-11_2021-10-17,59501.16663148133,"[21903.0, 2813.0, 297.0, 21.0, 9.0, 1.0, 0.0]","[21945.971280894573, 2790.1680794696026, 295.13194307479614, 18.82399596225631, 5.817608252587244, 0.4760362268047961, 0.14775008702216127]","[750692129.5875969, 95411949.53737643, 10094837.461149892, 645292.3697190647, 199328.292995643, 15496.775898080974, 4899.469136749798]",146060.3
2021-10-18_2021-10-24,59508.16666423631,"[23975.0, 3039.0, 349.0, 23.0, 9.0, 1.0, 0.0]","[23794.065555714074, 3025.888350248349, 320.4992768710842, 21.226408390110425, 6.033429458969066, 0.4564440106479396, 0.14882087666908697]","[777256062.7223594, 98800264.35520083, 10470190.797727808, 697840.3081391496, 198086.7479312821, 14565.773416300988, 5535.64115815672]",153811.5
2021-10-25_2021-10-31,59515.1669280092,"[26452.0, 3303.0, 373.0, 31.0, 8.0, 1.0, 1.0]","[26390.995127855378, 3355.565846609365, 356.9192314018514, 24.163237746282203, 7.033193674382767, 0.5482853798060874, 0.18605378254317967]","[915694179.0737469, 116466788.43632385, 12390302.214610822, 837874.0855975971, 244263.5769795654, 18692.715485512632, 6598.660173801857]",170503.0
2021-11-01_2021-11-07,59522.1668252314,"[25855.0, 3329.0, 376.0, 18.0, 8.0, 1.0, 0.0]","[25833.656670699558, 3294.41865533418, 352.005868936364, 23.590628333042908, 6.689105055940774, 0.6260434503865155, 0.15722637182998794]","[855254799.6229537, 109392947.34154046, 11685464.012405207, 781785.770078009, 222105.70957023147, 20812.287466210615, 5827.556144392712]",161245.4
2021-11-08_2021-11-14,59529.16671238424,"[23818.0, 2938.0, 312.0, 20.0, 4.0, 1.0, 0.0]","[23507.619435425127, 3021.975382010628, 325.24080962411165, 21.367876491701395, 6.18579585710933, 0.47200669844454973, 0.17387548663903696]","[814693648.0419161, 104723054.50538075, 11248112.799018364, 739773.8738751762, 213308.49204200238, 16174.811947208398, 5989.908457355069]",155610.4
2021-11-15_2021-11-21,59536.16684085637,"[27086.0, 3486.0, 374.0, 21.0, 6.0, 1.0, 0.0]","[27124.08744769059, 3467.3332348725594, 372.36490036255276, 24.094778805329945, 7.014535808803522, 0.5351345734457286, 0.17426572279533414]","[940815278.388853, 120264640.00433965, 12916848.296175158, 836048.4087977298, 243030.6349501472, 18724.00357776832, 5850.516042981747]",170514.5
