# ra : 49.95, dec : 41.45
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-09-20_2021-09-26,59480.166958217735,"[30003.0, 3496.0, 338.0, 22.0, 1.0, 1.0, 0.0]","[30224.898842115468, 3444.361317283613, 335.6583312610643, 21.58578685256087, 5.7282289452597155, 0.4020242304395259, 0.1382387457806246]","[957964396.6047662, 109176807.18668239, 10639401.455634093, 682533.5578413116, 178795.23945477468, 14121.505258233257, 3734.0666691939546]",171690.9
2021-09-27_2021-10-03,59487.24986284722,"[34035.0, 3914.0, 364.0, 28.0, 6.0, 1.0, 1.0]","[34233.71944185814, 3881.064144491954, 378.0047926408863, 23.838357684695854, 6.516938495516761, 0.5039985809155508, 0.18351016170879195]","[1169683129.7715273, 132570950.20150292, 12903709.371245658, 813230.5859557606, 222211.30219971124, 17792.269304066733, 6731.2017663819115]",190888.1
2021-10-04_2021-10-10,59494.25005740744,"[32263.0, 3670.0, 350.0, 25.0, 5.0, 1.0, 0.0]","[32163.52642145061, 3640.48811823947, 352.7948744325785, 22.496971685685864, 5.5963010689265245, 0.5423514801850644, 0.18487364434504375]","[1105489656.1048255, 125160333.01375374, 12116397.479609827, 771026.0320554252, 192003.53306711232, 17903.962191258284, 6271.871670567836]",176320.0
2021-10-11_2021-10-17,59501.16663148133,"[36302.0, 4115.0, 410.0, 20.0, 11.0, 0.0, 0.0]","[36469.78775314385, 4150.65986228565, 402.23503256736973, 26.09237778329671, 6.954693196137767, 0.5122827263565826, 0.18739529659171303]","[1233983898.4836123, 140275741.9076769, 13577512.65884983, 879725.537593919, 234139.63001892614, 17041.676544757716, 6396.906244857858]",204529.7
2021-10-18_2021-10-24,59508.16666423631,"[37263.0, 4169.0, 446.0, 34.0, 3.0, 0.0, 0.0]","[37041.536616456906, 4187.1992920954035, 403.5924289675485, 26.468433115948397, 6.069137228488511, 0.5118904820813344, 0.22639278080806444]","[1251589553.7855463, 141247349.81288144, 13609542.415872345, 897391.2160297188, 205635.8781965813, 17079.969534204192, 7356.195532169785]",204894.3
2021-10-25_2021-10-31,59515.1669280092,"[37095.0, 4223.0, 407.0, 32.0, 9.0, 1.0, 0.0]","[37154.44692394363, 4241.112768994897, 407.4467921944989, 26.941886873835163, 6.714681355765644, 0.5967293536609322, 0.17500361479953389]","[1269413016.9299035, 144923201.4200282, 13926364.356251245, 920078.0836524573, 230356.89195762126, 19365.857948636087, 5985.95063078532]",205656.7
2021-11-01_2021-11-07,59522.1668252314,"[33503.0, 3808.0, 358.0, 33.0, 5.0, 0.0, 0.0]","[33394.18648889414, 3841.4711992387347, 378.13330011790066, 24.625593230295085, 6.401467904054828, 0.5597746005049787, 0.21288063099460197]","[1147889682.6187856, 131895258.58668748, 12969602.767992241, 842012.2693053634, 217923.82110989463, 19863.832028791265, 6992.90841611938]",187758.4
2021-11-08_2021-11-14,59529.16671238424,"[38027.0, 4244.0, 411.0, 25.0, 14.0, 2.0, 0.0]","[38068.55921076844, 4355.377307296769, 424.1610461776322, 27.501836678985022, 6.970598892348979, 0.5844117206215083, 0.17428799078089477]","[1315028840.5781004, 150427630.84015092, 14666822.56047583, 948573.2731815297, 241727.07308801555, 20493.948347434263, 5736.776728787764]",205596.5
2021-11-15_2021-11-21,59536.16684085637,"[38381.0, 4436.0, 435.0, 23.0, 6.0, 1.0, 0.0]","[38270.04364833406, 4352.5429716821145, 417.4678898428395, 27.243821680771106, 6.820765467977274, 0.5569218366749226, 0.17831671329651164]","[1284054392.1364245, 145998440.04254836, 14000423.06708021, 914536.7444606979, 230813.45597019172, 18359.45840399442, 6332.766296855605]",198350.3
2021-11-22_2021-11-28,59543.166822106185,"[37476.0, 4304.0, 436.0, 19.0, 5.0, 0.0, 1.0]","[37813.07186953339, 4281.528816416014, 418.86571348025825, 27.311302939212304, 7.137269557901802, 0.5327281978350655, 0.18849711996622504]","[1309473843.5205834, 148231702.82751685, 14484457.811633483, 946061.0239786503, 246766.42874086928, 18060.55062052399, 6226.424689366779]",205733.5
