# ra : 104.06, dec : 42.6
# nhits : [0, 1, 2, 3, 4, 5, 6]
# delta : [0.89, 0.662, 0.498, 0.398, 0.332, 0.263, 0.196]
# max_zen : 50.0
name,mjd,n_on,n_bkg,n_off,tobs
2021-09-06_2021-09-12,59466.167044907554,"[34669.0, 3849.0, 380.0, 29.0, 8.0, 0.0, 0.0]","[34787.51760770737, 3898.8279522121074, 370.69688702593174, 25.860545714668795, 5.852382666459212, 0.42450099107887135, 0.18021923448316302]","[1157963657.8922029, 130095650.65121388, 12364804.066548988, 858333.9289856192, 193463.6438133068, 14956.395222188614, 6029.121792568033]",193437.2
2021-09-13_2021-09-19,59473.16697187504,"[25616.0, 2930.0, 287.0, 14.0, 3.0, 0.0, 1.0]","[25405.972903870632, 2888.5197984245538, 278.4011412326382, 18.490813433733628, 4.095642481117123, 0.34612830647509124, 0.11774728952853647]","[811925970.3612685, 92412959.33026691, 8898741.847818527, 592483.0772275567, 131448.599169656, 11082.779865511395, 3958.173876471886]",153428.3
2021-09-20_2021-09-26,59480.166958217735,"[26983.0, 3087.0, 385.0, 29.0, 10.0, 7.0, 0.0]","[26910.127973116447, 3004.8229715102943, 294.52985392337695, 20.834482632670053, 4.851843321684442, 0.555218204000979, 0.17275656340791154]","[769599490.6183779, 86764844.77686363, 8532830.877076408, 604339.5298283352, 139738.297800066, 14695.811204829251, 4656.431710786498]",137989.2
2021-09-27_2021-10-03,59487.24986284722,"[36319.0, 4164.0, 443.0, 44.0, 17.0, 2.0, 0.0]","[36032.014124390895, 4073.757906682284, 392.21002959687615, 27.4658453100135, 6.002108032690527, 0.5995256406887152, 0.13835522297665612]","[1216753781.9312806, 137386257.62024474, 13228515.150868863, 924141.5774336174, 203183.5782252398, 18900.577002640417, 5319.088329563671]",201555.2
2021-10-04_2021-10-10,59494.25005740744,"[31993.0, 3508.0, 374.0, 21.0, 6.0, 1.0, 0.0]","[31869.46381995013, 3599.847181209938, 349.0534921439806, 23.390576642024097, 5.3313663899929535, 0.580686655009899, 0.1772662144540201]","[1077847466.1427963, 121648071.32449396, 11784383.488667741, 789148.980514238, 181435.33441195806, 18954.106480334285, 5890.109277013685]",176120.9
2021-10-11_2021-10-17,59501.16663148133,"[35150.0, 3931.0, 381.0, 22.0, 9.0, 0.0, 0.0]","[35344.52037324741, 3991.1908067454265, 383.3012314386015, 26.169822408538444, 6.1227720241107635, 0.48007649514553014, 0.16914120723916534]","[1195863142.1305146, 135067242.9469195, 12949031.773301179, 884117.9025566366, 206605.72668135338, 15166.800329791187, 5512.044938440529]",194879.2
2021-10-18_2021-10-24,59508.16666423631,"[35052.0, 4005.0, 362.0, 32.0, 6.0, 0.0, 0.0]","[34925.74815609914, 3947.5903083500048, 378.51392256811005, 24.958246328924673, 6.088161672974251, 0.5150103071573947, 0.17598128397485277]","[1149958707.5067518, 130028573.90431519, 12492430.414763456, 827647.6196220099, 199880.41416607745, 17635.153958910014, 5742.127606557931]",192717.1
2021-10-25_2021-10-31,59515.1669280092,"[36935.0, 4302.0, 394.0, 34.0, 6.0, 0.0, 1.0]","[36938.39840259546, 4200.426385175486, 407.0861480309568, 28.324417789229226, 6.971858484265305, 0.576706867832898, 0.16951504819534008]","[1272060371.6877732, 144582028.83696097, 14011537.502223078, 974251.3083305822, 239509.40190900437, 18877.29491048834, 6286.54590391132]",204586.9
2021-11-01_2021-11-07,59522.1668252314,"[33686.0, 3777.0, 389.0, 30.0, 6.0, 0.0, 0.0]","[33476.80400669666, 3817.717873186093, 372.16436648050137, 25.40549908643267, 6.066227007977804, 0.4144831138706215, 0.17598474005997072]","[1130852571.82691, 129052950.66921501, 12573107.419613535, 863528.6031477298, 205139.99874411558, 14657.362279454575, 5928.487206218382]",178872.5
2021-11-08_2021-11-14,59529.16671238424,"[37778.0, 4290.0, 413.0, 24.0, 6.0, 1.0, 0.0]","[37561.129151395835, 4265.7041747868925, 414.971124256866, 28.746554042944243, 6.230283231737873, 0.6114005308246981, 0.21032224425885293]","[1293424319.8089156, 146924482.8529017, 14295363.284772648, 990357.7822328242, 215140.4282440747, 20497.31617947826, 7227.046334437416]",200526.6
