source_id,survey,instrument,panel,band,mjd,flux_mjy,flux_err_mjy,mag,mag_err,quality_rule,source_url,note
mkn421,ATLAS,ATLAS forced photometry,optical,c,60050.098462,3.568,0.031,15.019,0.009,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60050.110972,4.127,0.036,14.861,0.009,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60051.402334,2.89,0.025,15.248,0.009,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60051.405517,2.906,0.025,15.242,0.009,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60051.411007,3.594,0.027,15.011,0.007,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60051.421828,3.401,0.027,15.071,0.008,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60052.353887,5.896,0.249,14.474,0.042,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60052.358606,6.129,0.09,14.431,0.015,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60052.364726,4.633,0.054,14.735,0.012,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60052.376519,4.22,0.033,14.837,0.008,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60055.362204,3.338,0.024,15.091,0.007,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60055.372066,2.903,0.024,15.243,0.008,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60055.38875,2.473,0.023,15.417,0.009,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60055.393396,2.87,0.025,15.255,0.009,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60056.083009,3.912,0.032,14.919,0.008,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60056.086259,2.979,0.032,15.215,0.011,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60056.096366,3.051,0.031,15.189,0.01,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60056.103185,3.108,0.032,15.169,0.01,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60057.330325,12.159,0.334,13.688,0.027,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60057.333498,4.097,0.027,14.869,0.007,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
mkn421,ATLAS,ATLAS forced photometry,optical,c,60057.340287,4.324,0.026,14.81,0.006,"uJy > 0, duJy > 0, and uJy/duJy >= 5",https://fallingstar-data.com/forcedphot/apiguide/,ATLAS forced-flux points; negative forced fluxes excluded from the main plot.
