source_id,survey,mjd,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
mkn421,ATLAS,60642.570899,18.937,0.209,97,20,c,0,79.31,166.11383,38.20883,10219.42,2580.82,2.75,2.28,-53.4,-0.424,19.37,20.96,02a60642o0835c
mkn421,ATLAS,60642.576377,17.765,0.071,284,20,c,0,11.86,166.11383,38.20883,10165.59,2506.06,2.84,2.43,-45.8,-0.413,19.37,20.97,02a60642o0847c
mkn421,ATLAS,60642.578647,17.229,0.043,466,20,c,0,63.58,166.11383,38.20883,545.21,2534.74,2.56,2.4,12.4,-0.404,19.39,20.93,02a60642o0852c
mkn421,ATLAS,60642.581898,18.168,0.093,196,18,c,0,165.03,166.11383,38.20883,565.47,2574.6,2.4,2.36,42.3,-0.405,19.38,20.92,02a60642o0859c
mkn421,ATLAS,60642.585595,16.861,0.034,654,22,c,0,28.89,166.11383,38.20883,10154.35,2623.45,2.82,2.44,-51.7,-0.414,19.37,20.97,02a60642o0866c
mkn421,ATLAS,60642.605869,17.55,0.051,347,18,c,0,48.03,166.11383,38.20883,523.54,2497.24,2.46,2.37,18.2,-0.407,19.36,20.95,02a60642o0884c
mkn421,ATLAS,60642.611444,17.736,0.057,292,17,c,0,57.54,166.11383,38.20883,508.01,2613.08,2.46,2.39,29.7,-0.415,19.42,20.95,02a60642o0896c
mkn421,ATLAS,60645.551825,-19.729,0.357,-47,17,c,0,43.64,166.11383,38.20883,9224.44,6066.35,2.62,2.55,-43.8,-0.412,19.48,21.15,02a60645o0789c
mkn421,ATLAS,60645.554639,17.334,0.043,423,18,c,0,42.25,166.11383,38.20883,9246.76,6105.06,2.61,2.57,-41.7,-0.412,19.48,21.16,02a60645o0795c
mkn421,ATLAS,60645.560196,17.817,0.077,271,21,c,0,35.86,166.11383,38.20883,9188.21,6028.6,2.64,2.59,-21.5,-0.408,19.48,21.16,02a60645o0807c
mkn421,ATLAS,60645.568661,-19.838,0.329,-42,14,c,0,48.48,166.11383,38.20883,9174.42,6147.07,2.62,2.59,-30.7,-0.404,19.49,21.19,02a60645o0825c
mkn421,ATLAS,60647.56955,17.191,0.038,483,19,c,0,60.72,166.11383,38.20883,3793.94,4171.52,2.45,2.29,36.7,-0.411,19.5,21.33,02a60647o0819c
mkn421,ATLAS,60649.566896,-15.726,0.001,-1860,2,o,0,460.4,166.11383,38.20883,1256.98,2529.68,2.88,2.63,45.2,-0.389,19.43,20.92,01a60649o0817o
mkn421,ATLAS,60649.570394,-15.387,0.001,-2541,2,o,0,223.65,166.11383,38.20883,1237.42,2492.64,3.19,2.8,52.1,-0.337,19.37,20.93,01a60649o0824o
mkn421,ATLAS,60649.57553,-15.363,0.001,-2599,2,o,0,740.87,166.11383,38.20883,1295.31,2568.49,2.78,2.54,59.7,-0.383,19.51,20.93,01a60649o0835o
mkn421,ATLAS,60649.591399,-15.558,0.001,-2172,2,o,0,707.66,166.11383,38.20883,1311.84,2457.25,2.92,2.62,52.2,-0.372,19.46,20.99,01a60649o0869o
mkn421,ATLAS,60651.549349,-15.497,0.001,-2298,2,o,0,214.47,166.11383,38.20883,2401.06,8328.84,2.79,2.62,69.1,-0.403,19.46,20.88,01a60651o0746o
mkn421,ATLAS,60651.552116,-16.648,0.003,-796,2,o,0,1484.23,166.11383,38.20883,2383.42,8292.41,2.97,2.73,67.2,-0.405,19.4,20.89,01a60651o0752o
mkn421,ATLAS,60651.55722,-15.248,0.001,-2890,2,o,0,114.11,166.11383,38.20883,2440.42,8370.0,2.99,2.75,66.0,-0.402,19.46,20.93,01a60651o0763o
mkn421,ATLAS,60651.573141,-15.854,0.001,-1653,2,o,0,585.24,166.11383,38.20883,2461.47,8254.11,2.88,2.65,61.4,-0.399,19.51,20.94,01a60651o0796o
mkn421,ATLAS,60651.62011,-19.751,0.382,-46,17,c,0,69.46,166.11383,38.20883,8203.58,2230.77,2.5,2.34,-63.4,-0.401,19.56,21.39,02a60651o0937c
mkn421,ATLAS,60651.622483,19.259,0.225,72,16,c,0,37.42,166.11383,38.20883,8225.68,2271.0,2.56,2.39,-63.7,-0.399,19.55,21.38,02a60651o0942c
mkn421,ATLAS,60651.626311,19.858,0.375,41,16,c,0,18.48,166.11383,38.20883,8170.85,2195.09,2.54,2.43,-70.7,-0.396,19.57,21.39,02a60651o0950c
mkn421,ATLAS,60651.651657,-15.892,0.003,-1596,4,c,0,273.55,166.11383,38.20883,8165.8,2320.47,2.56,2.44,-76.3,-0.55,19.51,21.37,02a60651o1003c
mkn421,ATLAS,60653.591988,-15.709,0.001,-1890,2,o,0,846.54,166.11383,38.20883,7212.39,4168.04,2.83,2.53,42.5,-0.363,19.44,20.81,01a60653o0870o
mkn421,ATLAS,60653.595201,-15.319,0.001,-2706,1,o,0,508.81,166.11383,38.20883,7193.87,4127.85,2.87,2.66,47.9,-0.358,19.44,20.9,01a60653o0877o
mkn421,ATLAS,60653.601284,-15.98,0.001,-1473,2,o,0,1743.69,166.11383,38.20883,7249.03,4206.17,2.7,2.44,47.0,-0.376,19.48,20.88,01a60653o0890o
mkn421,ATLAS,60653.612253,-15.421,0.001,-2465,1,o,0,354.71,166.11383,38.20883,7267.93,4089.64,2.92,2.72,45.2,-0.359,19.41,20.88,01a60653o0913o
mkn421,ATLAS,60654.601902,17.197,0.049,480,24,c,0,6.77,166.11383,38.20883,2481.34,2507.71,3.92,3.25,19.1,-0.388,19.13,21.41,02a60654o0781c
mkn421,ATLAS,60654.605112,-19.986,0.688,-37,25,c,0,5.27,166.11383,38.20883,2501.32,2547.92,4.07,3.43,21.4,-0.396,19.0,21.42,02a60654o0788c
mkn421,ATLAS,60654.606041,18.073,0.113,214,24,c,0,4.08,166.11383,38.20883,2501.75,2547.95,4.42,3.55,15.1,-0.394,19.01,21.38,02a60654o0790c
mkn421,ATLAS,60654.609488,17.619,0.068,325,22,c,0,7.93,166.11383,38.20883,2453.69,2470.7,3.57,3.26,18.9,-0.398,19.2,21.39,02a60654o0797c
mkn421,ATLAS,60654.62228,18.031,0.098,223,22,c,0,15.26,166.11383,38.20883,2436.14,2587.77,3.29,3.05,36.6,-0.387,19.27,21.44,02a60654o0824c
mkn421,ATLAS,60655.532379,-16.444,0.002,-960,2,o,0,1237.57,166.11383,38.20883,8104.0,8071.47,2.59,2.52,74.6,-0.431,19.2,20.2,01a60655o0711o
mkn421,ATLAS,60655.535182,-16.511,0.002,-903,2,o,0,1209.13,166.11383,38.20883,8086.76,8033.15,2.67,2.6,73.6,-0.416,19.25,20.27,01a60655o0717o
mkn421,ATLAS,60655.54032,-15.963,0.001,-1496,1,o,0,579.45,166.11383,38.20883,8145.16,8111.6,2.59,2.52,82.3,-0.432,19.33,20.43,01a60655o0728o
mkn421,ATLAS,60655.550408,-16.923,0.003,-618,2,o,0,1206.06,166.11383,38.20883,8164.67,7995.45,2.62,2.56,66.1,-0.423,19.51,20.82,01a60655o0749o
mkn421,ATLAS,60656.49055,-15.224,0.001,-2955,4,o,0,320.92,166.11383,38.20883,3310.53,4351.01,2.76,2.44,40.3,-0.389,18.9,19.62,01a60656o0638o
mkn421,ATLAS,60656.493296,-14.626,0.001,-5122,6,o,0,231.0,166.11383,38.20883,3290.83,4313.48,2.82,2.44,39.0,-0.385,18.83,19.61,01a60656o0644o
mkn421,ATLAS,60656.498449,-14.604,0.001,-5231,3,o,0,235.59,166.11383,38.20883,3350.23,4390.01,2.56,2.39,36.9,-0.407,18.8,19.46,01a60656o0655o
mkn421,ATLAS,60656.505011,-14.414,0.022,-6230,139,o,0,4.21,166.11383,38.20883,3369.26,4273.72,2.51,2.28,38.7,-0.419,16.66,16.8,01a60656o0669o
mkn421,ATLAS,60659.474689,-15.187,0.013,-3057,38,o,0,22.77,166.11383,38.20883,9842.3,444.96,2.44,2.19,-45.9,-0.473,18.18,18.36,01a60659o0610o
mkn421,ATLAS,60659.477531,-15.725,0.02,-1862,36,o,0,44.86,166.11383,38.20883,9824.97,404.45,2.47,2.1,-57.1,-0.466,18.37,18.48,01a60659o0616o
mkn421,ATLAS,60659.482767,-15.281,0.008,-2804,22,o,0,44.36,166.11383,38.20883,9884.22,484.55,2.5,2.25,-51.1,-0.489,18.34,18.54,01a60659o0627o
mkn421,ATLAS,60659.490724,-15.356,0.011,-2616,29,o,0,27.98,166.11383,38.20883,1473.61,10520.2,2.75,2.48,-70.7,-0.446,18.43,18.69,01a60659o0644o
mkn421,ATLAS,60659.492649,-15.576,0.013,-2136,28,o,0,23.28,166.11383,38.20883,9906.67,362.12,2.64,2.29,-55.5,-0.451,18.42,18.61,01a60659o0648o
mkn421,ATLAS,60659.533321,-15.392,0.042,-2530,107,o,0,5.64,166.11383,38.20883,767.27,10144.18,2.09,1.75,-49.6,-0.587,17.24,17.46,02a60659o0745o
mkn421,ATLAS,60659.535131,-15.595,0.031,-2099,66,o,0,23.86,166.11383,38.20883,784.89,10183.76,2.09,1.79,-46.1,-0.529,17.28,17.63,02a60659o0749o
mkn421,ATLAS,60659.547583,-15.663,0.053,-1972,105,o,0,10.56,166.11383,38.20883,728.45,10103.69,2.16,1.87,-48.1,-0.528,17.53,17.68,02a60659o0776o
mkn421,ATLAS,60659.557427,-15.246,0.051,-2895,147,o,0,8.1,166.11383,38.20883,710.96,10222.94,2.08,1.77,-47.2,-0.52,17.03,17.04,02a60659o0797o
mkn421,ATLAS,60661.532173,-14.258,0.001,-7189,9,o,0,677.91,166.11383,38.20883,4818.92,10002.5,2.19,2.12,46.3,-0.398,18.62,19.06,02a60661o0738o
mkn421,ATLAS,60661.544917,-15.295,0.005,-2768,14,o,0,83.5,166.11383,38.20883,4844.33,10044.17,2.18,2.09,45.5,-0.411,18.66,19.12,02a60661o0764o
mkn421,ATLAS,60661.547226,-15.707,0.012,-1894,23,o,0,63.34,166.11383,38.20883,4785.51,9965.47,2.21,2.09,48.6,-0.414,18.67,19.13,02a60661o0769o
mkn421,ATLAS,60661.550405,-15.327,0.007,-2687,20,o,0,79.6,166.11383,38.20883,4765.56,10082.69,2.19,2.08,41.7,-0.404,18.68,19.14,02a60661o0776o
mkn421,ATLAS,60662.521621,-16.362,0.026,-1036,27,o,0,99.18,166.11383,38.20883,9741.29,4307.85,2.46,2.17,-54.0,-0.431,18.63,19.03,02a60662o0719o
mkn421,ATLAS,60662.524351,-15.829,0.013,-1691,22,o,0,200.13,166.11383,38.20883,9764.89,4347.77,2.28,2.01,-50.5,-0.456,18.72,19.05,02a60662o0725o
mkn421,ATLAS,60662.528471,-16.246,0.024,-1152,27,o,0,135.43,166.11383,38.20883,9709.2,4271.86,2.29,2.05,-49.6,-0.449,18.72,19.06,02a60662o0734o
mkn421,ATLAS,60662.534915,-16.498,0.03,-914,27,o,0,161.93,166.11383,38.20883,9690.34,4389.76,2.23,2.01,-49.3,-0.441,18.74,19.08,02a60662o0748o
mkn421,ATLAS,60663.527064,-15.879,0.002,-1616,3,o,0,2872.04,166.11383,38.20883,9765.79,4303.82,2.34,2.13,-50.8,-0.454,18.76,19.26,02a60663o0730o
mkn421,ATLAS,60663.528982,-15.408,0.006,-2494,15,o,0,140.04,166.11383,38.20883,9783.08,4343.14,2.23,2.11,-33.8,-0.432,18.73,19.27,02a60663o0734o
mkn421,ATLAS,60663.532165,-15.315,0.001,-2716,3,o,0,2945.67,166.11383,38.20883,9725.78,4268.71,2.35,2.16,-48.3,-0.428,18.8,19.28,02a60663o0741o
mkn421,ATLAS,60663.548768,-15.124,0.002,-3238,5,o,0,304.84,166.11383,38.20883,9706.24,4390.11,2.13,1.92,-46.0,-0.45,18.92,19.33,02a60663o0777o
mkn421,ATLAS,60665.551839,-15.173,0.002,-3095,5,o,0,1511.39,166.11383,38.20883,1429.9,8389.3,2.15,1.98,23.8,-0.448,19.06,19.73,02a60665o0779o
mkn421,ATLAS,60665.554103,-15.596,0.001,-2097,2,o,0,1715.04,166.11383,38.20883,9196.28,2171.58,2.24,2.19,-48.1,-0.479,19.18,19.92,01a60665o0773o
mkn421,ATLAS,60665.555045,-16.864,0.023,-652,15,o,0,69.29,166.11383,38.20883,1449.71,8429.29,2.14,1.98,30.2,-0.442,19.05,19.75,02a60665o0786o
mkn421,ATLAS,60665.556396,-15.111,0.002,-3278,6,o,0,769.98,166.11383,38.20883,9174.85,2131.58,2.33,2.29,-8.3,-0.455,19.13,19.91,01a60665o0778o
mkn421,ATLAS,60665.559588,-15.179,0.004,-3078,13,o,0,769.81,166.11383,38.20883,1389.47,8350.34,2.11,1.97,24.3,-0.455,19.08,19.76,02a60665o0796o
mkn421,ATLAS,60665.566713,-14.99,0.001,-3666,5,o,0,1913.84,166.11383,38.20883,1365.88,8467.36,2.1,2.08,26.7,-0.449,19.04,19.72,02a60665o0810o
mkn421,ATLAS,60665.571816,-16.194,0.012,-1209,14,o,0,214.13,166.11383,38.20883,9234.3,2210.33,2.51,2.48,-12.5,-0.439,19.05,19.92,01a60665o0811o
mkn421,ATLAS,60665.57835,-15.312,0.002,-2723,6,o,0,214.75,166.11383,38.20883,9254.53,2093.72,2.53,2.48,1.2,-0.446,19.05,19.92,01a60665o0825o
mkn421,ATLAS,60667.529364,-15.28,0.001,-2805,4,o,0,3001.11,166.11383,38.20883,5905.0,4563.7,2.45,1.96,37.2,-0.436,19.2,20.15,02a60667o0731o
mkn421,ATLAS,60667.552139,-17.252,0.252,-456,115,o,0,9.23,166.11383,38.20883,5926.26,4608.04,2.61,1.99,37.8,-0.434,16.94,17.33,02a60667o0780o
mkn421,ATLAS,60667.55405,-15.973,0.055,-1482,82,o,0,10.83,166.11383,38.20883,5861.7,4528.48,2.51,1.95,39.1,-0.427,17.46,17.85,02a60667o0784o
mkn421,ATLAS,60667.557224,-14.959,0.06,-3770,228,o,0,4.92,166.11383,38.20883,5841.77,4645.07,2.57,1.96,37.9,-0.442,16.49,16.8,02a60667o0791o
mkn421,ATLAS,60669.410365,-15.158,0.003,-3140,11,o,0,574.54,166.11383,38.20883,7393.87,8130.94,2.54,2.44,14.8,-0.414,19.1,20.16,02a60669o0474o
mkn421,ATLAS,60669.414596,18.677,0.18,123,22,o,0,52.08,166.11383,38.20883,7417.31,8177.14,2.85,2.65,-2.9,-0.398,18.94,20.16,02a60669o0483o
mkn421,ATLAS,60669.449811,-16.848,0.026,-662,17,o,0,140.97,166.11383,38.20883,7352.7,8097.19,2.44,2.31,13.7,-0.417,19.23,20.36,02a60669o0558o
mkn421,ATLAS,60669.467468,-15.589,0.008,-2110,16,o,0,698.34,166.11383,38.20883,7334.75,8214.62,2.49,2.29,13.1,-0.423,19.28,20.43,02a60669o0596o
mkn421,ATLAS,60670.505245,-15.13,0.001,-3222,4,o,0,3819.77,166.11383,38.20883,6298.53,2335.95,1.98,1.93,31.9,-0.442,19.5,20.67,02a60670o0675o
mkn421,ATLAS,60670.508472,-15.426,0.002,-2453,5,o,0,997.39,166.11383,38.20883,6321.51,2375.06,2.03,2.0,45.0,-0.435,19.47,20.68,02a60670o0682o
mkn421,ATLAS,60670.513957,-15.636,0.001,-2022,2,o,0,4123.49,166.11383,38.20883,6263.66,2297.98,2.03,1.98,34.3,-0.441,19.47,20.68,02a60670o0694o
mkn421,ATLAS,60670.52389,-14.963,0.001,-3757,3,o,0,2480.69,166.11383,38.20883,6245.02,2414.03,2.08,1.97,35.0,-0.436,19.52,20.77,02a60670o0715o
mkn421,ATLAS,60673.544281,-14.881,0.002,-4052,7,o,0,4399.91,166.11383,38.20883,4388.46,2432.69,2.09,1.93,44.3,-0.442,19.53,20.8,02a60673o0752o
mkn421,ATLAS,60673.546089,-16.105,0.002,-1312,2,o,0,4105.28,166.11383,38.20883,4406.13,2472.15,2.11,1.92,41.7,-0.443,19.51,20.81,02a60673o0756o
