source_id,survey,asas_sn_id,mjd,jd,phot_filter,mag,mag_err,flux,flux_err,limit,fwhm,image_id,camera,quality
mkn421,ASAS-SN Sky Patrol,128849645138,59332.39842029987,2459332.8984203,g,13.094242836185812,0.004311794718850835,21.00531092496806,0.08332494161696927,17.350703066349947,1.46,bC228094,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59344.23661469994,2459344.7366147,g,13.140838050658232,0.003645871667842008,20.122921298183478,0.06749634154444073,17.579440027146862,2.35,bC230520,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59346.34422669979,2459346.8442267,g,13.201022112232415,0.0032997562623222664,19.0378282285715,0.05779457748478487,17.74792287866546,1.41,bC231370,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59348.2519915998,2459348.7519916,g,13.267585236418425,0.006085522798158818,17.905735065187407,0.10024849824043057,17.149945922819597,1.55,bs343611,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59352.2394547998,2459352.7394548,g,13.093048893057082,0.003552098920480528,21.028422377719824,0.0687194335131226,17.559941684585723,1.65,bC233232,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59355.27100120019,2459355.7710012,g,13.148188609807974,0.003470032531145139,19.98714692611408,0.06380756603532195,17.64046016493046,1.57,bC234347,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59357.16456770012,2459357.6645677,g,13.148905336321304,0.013222718762793916,19.973957174475878,0.24298121683432958,16.18870885481772,1.56,bs345890,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59359.228285099845,2459359.7282851,g,13.220952827072614,0.008480293763182848,18.69154144675795,0.14582898136679795,16.743031005929858,1.41,bs346152,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59361.22905390011,2459361.7290539,g,13.109861410275874,0.022956168007133113,20.705307504481183,0.4372893562952462,15.550718344780803,1.53,bs346756,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59362.30397889996,2459362.8039789,g,13.143915795565722,0.002977220117226721,20.065959469080926,0.054961515946579456,17.802493854163036,1.46,bC236869,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59364.218756500166,2459364.7187565,g,13.109927243336081,0.003117641138930384,20.704052086797617,0.059383980166089104,17.718467355210258,1.43,bs347443,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59367.290620400105,2459367.7906204,g,13.190224226920144,0.003041028011963655,19.22810823669066,0.05379535850365775,17.8257785962171,1.39,bC238699,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59369.1917022001,2459369.6917022,g,13.093933672078638,0.005400556907799353,21.011293052906073,0.10439486913157499,17.10594272595001,1.45,bs347853,bs,B
mkn421,ASAS-SN Sky Patrol,128849645138,59370.2722316999,2459370.7722317,g,13.048333957607884,0.0024338913175873155,21.91253717394691,0.04906611525606038,17.92568642479653,1.59,bC239443,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59373.27683530003,2459373.7768353,g,13.058601553214677,0.0024358636026005354,21.70629133251239,0.04864367980396557,17.935074558747807,1.71,bC240481,bC,G
mkn421,ASAS-SN Sky Patrol,128849645138,59375.18561379984,2459375.6856138,g,13.15228139708061,0.0035272025734595647,19.911945278293064,0.06461478745792681,17.626810811173716,1.45,bs349448,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59377.18274529977,2459377.6827453,g,13.139647715197293,0.0031406572301406707,20.144994949055604,0.05820704211486688,17.740201785272166,1.44,bs350032,bs,G
mkn421,ASAS-SN Sky Patrol,128849645138,59378.17209229991,2459378.6720923,g,13.120546192762173,0.008834354720070658,20.502544906889383,0.16663661402190777,16.598214530520906,1.54,bs350323,bs,B
