source_id,source,series,method,period_days,cycles,observed_statistic,statistic_name,null_model,local_fap,global_fap,local_confidence,global_confidence,reference_95,reference_99,above_95,above_99,n_surrogates,exceed_count,global_exceed_count,local_window_min_days,local_window_max_days,ar1_alpha,note
mkn421,Mrk 421,wcda_strict_flux_weekly,CWT,129.86985635070872,12.289225882333014,2.7963522381167345,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,11.221179052477114,14.081277880329624,False,False,0,0,0,,,0.7259199335467618,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_strict_flux_weekly,CWT,436.8283866193031,3.653608714286504,7.593066552726897,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,4.581141569122665,6.444779480590474,True,True,0,0,0,,,0.3115668578076957,Quick-look candidate peak; no source/method/survey trial correction. Fewer than four observed cycles.
ngc1275,NGC 1275,wcda_strict_flux_weekly,WWZ,239.63963963963957,6.660000000000003,4.606388847154529,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.0649350649350649,0.3106893106893107,0.935064935064935,0.6893106893106893,4.242304692264675,5.398831547325048,True,False,1000,64,310,215.6756756756756,263.6036036036035,0.3115668578076957,Quick-look candidate peak; no source/method/survey trial correction.
ngc1275,NGC 1275,wcda_strict_flux_weekly,WWZ,505.0632911392405,3.1600000000000006,8.232523499755263,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.0089910089910089,0.0309690309690309,0.991008991008991,0.9690309690309692,5.258464422453636,7.025177608434648,True,True,1000,8,30,454.5569620253164,555.5696202531645,0.3115668578076957,Quick-look candidate peak; no source/method/survey trial correction. Fewer than four observed cycles.
m87,M 87,wcda_strict_flux_weekly,CWT,81.81288288154066,19.507930093490245,1.23621640728628,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,1.546994592304086,1.868652466671332,False,False,0,0,0,,,-0.0205486348209477,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_strict_flux_weekly,CWT,137.59231987331904,11.59948463307715,1.3783787022811214,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,1.7333922523354928,2.186328469113131,False,False,0,0,0,,,-0.0205486348209477,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_strict_flux_weekly,CWT,367.3274243892357,4.344897478465454,1.3890267150304536,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,2.214057688997757,3.065179660334261,False,False,0,0,0,,,-0.0205486348209477,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_strict_flux_weekly,WWZ,79.16666666666663,20.16000000000001,1.367380293696753,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.1898101898101898,0.8951048951048951,0.8101898101898102,0.1048951048951049,1.5365014205052714,2.0136607158162465,False,False,1000,189,895,71.24999999999997,87.0833333333333,-0.0205486348209477,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_strict_flux_weekly,WWZ,136.87821612349907,11.660000000000004,1.3270668010549582,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.3066933066933067,0.9170829170829172,0.6933066933066934,0.0829170829170828,1.8087342231752224,2.345109058216232,False,False,1000,306,917,123.19039451114917,150.566037735849,-0.0205486348209477,Quick-look candidate peak; no source/method/survey trial correction.
m87,M 87,wcda_strict_flux_weekly,WWZ,383.6538461538461,4.160000000000001,1.434365427721813,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.2097902097902098,0.8501498501498501,0.7902097902097902,0.1498501498501498,2.3332004721131345,3.343271520496609,False,False,1000,209,850,345.2884615384615,422.0192307692307,-0.0205486348209477,Quick-look candidate peak; no source/method/survey trial correction.
4c_p42d22,4C +42.22,wcda_strict_flux_weekly,CWT,145.77398497306055,10.948455585507562,2.8998128187569527,Global wavelet spectrum,AR(1) red noise via PyCWT time-averaged significance,,,,,3.489343855654455,4.423914758812089,False,False,0,0,0,,,0.3117174719874047,Quick-look candidate peak; no source/method/survey trial correction.
4c_p42d22,4C +42.22,wcda_strict_flux_weekly,WWZ,149.71857410881793,10.660000000000004,1.835350737655092,Local-window max global WWZ,AR(1) Gaussian surrogate on same strict-flux weekly sampling,0.5904095904095904,0.997002997002997,0.4095904095904096,0.002997002997003,3.567332223172826,4.801304791398562,False,False,1000,590,997,134.74671669793614,164.69043151969973,0.3117174719874047,Quick-look candidate peak; no source/method/survey trial correction.
