source,cadence,name,mjd,date1,date2,n_inputs,gamma,E0_TeV,F0,F0_err,F0_order,N0,N0_err,TS,fit_status,fit_log_status,old_excess_rate,mapfile,parres,log
IC310,week,2021-08-02_2021-08-08,59431.50000000,2021-08-02,2021-08-08,1,2.6,3.0,0.02825,0.03877,1e-12,2.82500000e-14,3.87700000e-14,0.62,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop21_2021-08-02_2021-08-08.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-08-02_2021-08-08/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-08-02_2021-08-08/fit.log
IC310,week,2021-08-09_2021-08-15,59438.50000000,2021-08-09,2021-08-15,1,2.6,3.0,0.02416,0.0391,1e-12,2.41600000e-14,3.91000000e-14,0.41,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop22_2021-08-09_2021-08-15.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-08-09_2021-08-15/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-08-09_2021-08-15/fit.log
IC310,week,2021-08-16_2021-08-22,59445.50000000,2021-08-16,2021-08-22,1,2.6,3.0,0.08768,0.04214,1e-12,8.76800000e-14,4.21400000e-14,5.56,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop23_2021-08-16_2021-08-22.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-08-16_2021-08-22/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-08-16_2021-08-22/fit.log
IC310,week,2021-08-23_2021-08-29,59452.50000000,2021-08-23,2021-08-29,1,2.6,3.0,0.01145,0.03017,1e-12,1.14500000e-14,3.01700000e-14,0.16,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop24_2021-08-23_2021-08-29.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-08-23_2021-08-29/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-08-23_2021-08-29/fit.log
IC310,week,2021-08-30_2021-09-05,59459.50000000,2021-08-30,2021-09-05,1,2.6,3.0,0,0.0538,1e-12,0.00000000e+00,5.38000000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop25_2021-08-30_2021-09-05.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-08-30_2021-09-05/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-08-30_2021-09-05/fit.log
IC310,week,2021-09-06_2021-09-12,59466.50000000,2021-09-06,2021-09-12,1,2.6,3.0,0,0.03796,1e-12,0.00000000e+00,3.79600000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop26_2021-09-06_2021-09-12.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-09-06_2021-09-12/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-09-06_2021-09-12/fit.log
IC310,week,2021-09-13_2021-09-19,59473.50000000,2021-09-13,2021-09-19,1,2.6,3.0,0,0.05088,1e-12,0.00000000e+00,5.08800000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop27_2021-09-13_2021-09-19.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-09-13_2021-09-19/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-09-13_2021-09-19/fit.log
IC310,week,2021-09-20_2021-09-26,59480.50000000,2021-09-20,2021-09-26,1,2.6,3.0,0.0299,0.03784,1e-12,2.99000000e-14,3.78400000e-14,0.77,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop28_2021-09-20_2021-09-26.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-09-20_2021-09-26/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-09-20_2021-09-26/fit.log
IC310,week,2021-09-27_2021-10-03,59487.50000000,2021-09-27,2021-10-03,1,2.6,3.0,0,0.02946,1e-12,0.00000000e+00,2.94600000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop29_2021-09-27_2021-10-03.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-09-27_2021-10-03/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-09-27_2021-10-03/fit.log
IC310,week,2021-10-04_2021-10-10,59494.50000000,2021-10-04,2021-10-10,1,2.6,3.0,0,0.0416,1e-12,0.00000000e+00,4.16000000e-14,-0,OK,OK,,/eos/user/l/liushijie/Skymap/2021-03-08_2026-03-29_week/Loop30_2021-10-04_2021-10-10.root,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-10-04_2021-10-10/out/ParRes.yaml,/home/lhaaso/liushijie/QPO/JOBs_flux_strict_agn_week/fits/IC310/week/2021-10-04_2021-10-10/fit.log
